q_id,q_string,df1_answer_list,top_20_vss_array,combined_answer_list,ground_truths,total_answers,retrieved_count,missed_count,recall,hit@1,hit@5,hit@10,mrr
597,What are some recommended Glock shooting sports caps with adjustable straps suitable for larger head sizes?,"[764635, 764638, 314063, 452646, 789500, 898448, 207189, 756184, 787460, 766610, 357138, 828944, 603289, 617476, 943536, 523107, 599755, 80884, 370738, 599748, 511900, 44330, 884884, 109510, 676344, 109512, 820459, 668273, 906082, 8571, 47176, 554742, 549722, 817965, 8526, 29965, 972681, 957726, 1021067, 1000641, 980006, 982730, 1032843, 1032846, 1033031, 1033035, 1033183, 1033292, 1032478, 1032620]","[8571, 47176, 764635, 554742, 764638, 549722, 8526, 817965, 29965, 549718, 318664, 314063, 219542, 224535, 826098, 826103, 830914, 617464, 145340, 699522]","[764635, 764638, 314063, 452646, 789500, 898448, 207189, 756184, 787460, 766610, 357138, 828944, 8571, 47176, 554742, 549722, 8526, 817965, 29965, 549718]","[764641, 47176, 318664, 29965, 8526, 314063, 549722, 8571, 764636, 764635]",10,7,3,0.7,1.0,1.0,1.0,1.0
5716,Are there any metal hangers suitable for hanging clay pigeons during shooting practice that are compatible with a TyCa Industries target stand?,"[753479, 912787, 510193, 150341, 111377, 376684, 66661, 861050, 83423, 857939, 735581, 76244, 486734, 593448, 754449, 818201, 61594, 562121, 424157, 385448, 310559, 726337, 685496, 561014, 578448, 485929, 19068, 837934, 802363, 50381, 805287, 699662, 511658, 3259, 191429, 888399, 368189, 538386, 130039, 537185, 246522, 735549, 735544, 735559, 755056, 755052, 755058, 467026, 467029, 699495]","[737922, 737937, 562121, 447217, 861050, 857939, 578488, 356743, 818201, 721500, 578448, 424157, 111377, 735581, 385448, 648281, 55863, 948207, 578516, 942541]","[753479, 912787, 510193, 150341, 111377, 376684, 66661, 861050, 83423, 857939, 735581, 76244, 737922, 737937, 562121, 447217, 578488, 356743, 818201, 721500]","[562121, 511658, 486734, 699662, 111377, 754449, 857939, 818201, 424157]",9,4,5,0.4444444444444444,0.0,1.0,1.0,0.2
572,"Is there a well-constructed leather sheath with durable stitching available for my Woodman's Pal 284? Ideally, it would come with a matching concave axe blade for chopping wood.","[178052, 201191, 212339, 917234, 827356, 221743, 922890, 827342, 895263, 806538, 807361, 216613, 122843, 221741, 895268, 847535, 399754, 731462, 717393, 938893, 715158, 883435, 511309, 154510, 50920, 883043, 50914, 51952, 339527, 154508, 306243, 783694, 732883, 787306, 95694, 50913, 934176, 787308, 188844, 787316, 995942, 985177, 1012823, 980507, 1002598, 1010493, 967070, 984350, 1032855, 1033037]","[135737, 8202, 8203, 380720, 352786, 441079, 340649, 8205, 441074, 270768, 165303, 419442, 8211, 441071, 387408, 8206, 213732, 821853, 77863, 176369]","[178052, 201191, 212339, 917234, 827356, 221743, 922890, 827342, 895263, 806538, 807361, 216613, 135737, 8202, 8203, 380720, 352786, 441079, 340649, 8205]",[8203],1,1,0,1.0,0.0,0.0,0.0,0.06666666666666667
2044,Can you suggest a durable Berkley brand boat spinning rod made from solid glass blanks?,"[668320, 668328, 303729, 15511, 668327, 15492, 303737, 156384, 15499, 156305, 427375, 487834, 487875, 487824, 487829, 487863, 487827, 487832, 487852, 487835, 477228, 543261, 682015, 930403, 278708, 545611, 684464, 200605, 166797, 166809, 166849, 398573, 278637, 166843, 166793, 606351, 650096, 166898, 166812, 302280, 287948, 156890, 215158, 359263, 359221, 359235, 64962, 1032872, 1033432, 1033207]","[278536, 668320, 668328, 15511, 15499, 668327, 437399, 156305, 351918, 15492, 646284, 156384, 303729, 180224, 478362, 15530, 15495, 437403, 142850, 642774]","[668320, 668328, 303729, 15511, 668327, 15492, 303737, 156384, 15499, 156305, 427375, 487834, 278536, 437399, 351918, 646284, 180224, 478362, 15530, 15495]","[156384, 735842, 15496, 170157, 156240, 156305]",6,2,4,0.3333333333333333,0.0,0.0,1.0,0.125
4842,What's the best cover for a 3000-5000 size spinning reel?,"[218213, 799911, 799914, 800827, 697032, 106662, 327391, 302663, 645312, 332119, 546512, 657411, 888926, 767424, 828442, 757644, 675293, 88011, 109180, 524749, 32736, 843316, 478598, 478602, 478599, 79303, 729106, 301543, 434529, 68530, 817523, 171395, 790971, 666844, 159625, 729102, 712996, 327395, 370103, 370102, 878216, 627207, 627211, 856452, 1033043, 1033396, 990642, 1033394, 1028773, 960304]","[467391, 478598, 79303, 478602, 478599, 171381, 79309, 800827, 218213, 799914, 697032, 434533, 227550, 324598, 848578, 95684, 106662, 302663, 729106, 784423]","[218213, 799911, 799914, 800827, 697032, 106662, 327391, 302663, 645312, 332119, 546512, 657411, 467391, 478598, 79303, 478602, 478599, 171381, 79309, 434533]","[767424, 94917, 478598, 478599, 50310, 31688, 478602, 446539, 799914, 443738, 166766, 699855, 79303, 441618, 324598, 461754, 800827, 467391]",18,7,11,0.3888888888888889,0.0,1.0,1.0,0.3333333333333333
2173,"Looking for a 6V LED bulb for my flashlight that has a built-in reflector and various lighting modes, preferably 5. Any recommendations?","[790796, 908374, 903339, 874547, 955930, 409738, 863691, 525443, 947608, 801761, 922872, 942292, 814755, 731735, 694498, 694500, 732252, 427445, 882282, 942858, 947447, 26450, 314678, 456341, 450699, 453541, 56433, 656792, 804631, 305798, 614502, 276648, 819421, 806257, 482416, 839104, 404689, 194373, 222972, 212567, 110041, 450511, 77015, 110134, 708155, 270682, 109945, 270683, 147890, 270684]","[171426, 525443, 171457, 409738, 203107, 922784, 863400, 828747, 55365, 199702, 289299, 611841, 734203, 798614, 937338, 862085, 36204, 266071, 142274, 842726]","[790796, 908374, 903339, 874547, 955930, 409738, 863691, 525443, 947608, 801761, 922872, 942292, 171426, 171457, 203107, 922784, 863400, 828747, 55365, 199702]","[171426, 893547, 409738]",3,2,1,0.6666666666666666,0.0,0.0,1.0,0.16666666666666666
8890,Looking for a cowboy-styled hat that would complement the Metalab Santa Fe Coll Flower Twist Dog Bone Pony Bit. It's for my daughter's upcoming birthday - she loves horse riding and I want to enhance her equestrian fashion.,"[131930, 362247, 636084, 794153, 326973, 543603, 57599, 474825, 24559, 913999, 240692, 586074, 586062, 913971, 170560, 913992, 570412, 808376, 682472, 929749, 887210, 886735, 201973, 823061, 325069, 495076, 806374, 669160, 843704, 57583, 12228, 274528, 367025, 429393, 837049, 898996, 708282, 588519, 298938, 566643, 270819, 517658, 489392, 588526, 196784, 363154, 477959, 1032541, 1032810, 1033657]","[794153, 682472, 465514, 420835, 808376, 465435, 523752, 887210, 823059, 144475, 523753, 305437, 330315, 823061, 362247, 195398, 639229, 929749, 444968, 325069]","[131930, 362247, 636084, 794153, 326973, 543603, 57599, 474825, 24559, 913999, 240692, 586074, 682472, 465514, 420835, 808376, 465435, 523752, 887210, 823059]",[934214],1,0,1,0.0,0.0,0.0,0.0,0.0
5916,"What are some lightweight fastpitch gloves suitable for kids and pitchers? Ideally, something that offers a good balance between softness and control with a design specifically tailored for fastpitch.","[406622, 606944, 492994, 454788, 606958, 606959, 237673, 253791, 457027, 244332, 129014, 624915, 175185, 337614, 629866, 740155, 10269, 526177, 342299, 155806, 246847, 592019, 288284, 670253, 202891, 251479, 426604, 554687, 566180, 280126, 740712, 313061, 337710, 96149, 539672, 94129, 203833, 157627, 80503, 108014, 107999, 216392, 455881, 1032481, 1033057, 1033192, 1033567, 1033261, 1032498, 1032637]","[182287, 342920, 406622, 888161, 206986, 833463, 186231, 454788, 251515, 507198, 186992, 147827, 606944, 207008, 196047, 606958, 457027, 237673, 661030, 648032]","[406622, 606944, 492994, 454788, 606958, 606959, 237673, 253791, 457027, 244332, 129014, 624915, 182287, 342920, 888161, 206986, 833463, 186231, 251515, 507198]","[606768, 939277, 584543]",3,0,3,0.0,0.0,0.0,0.0,0.0
1901,Can you recommend an overstable gummy putter that grips the chains well and stops quickly? It should also be effective for both backhand and sidearm throws.,[],"[60067, 197713, 844574, 241687, 197391, 152431, 142194, 197711, 276464, 799814, 313491, 887168, 269550, 241689, 104071, 908917, 886776, 197725, 145559, 330968]","[60067, 197713, 844574, 241687, 197391, 152431, 142194, 197711]","[887168, 832416, 299456, 832419, 714564, 692195, 272894, 104071, 59174, 141136, 247093, 213847, 330968, 142393, 788252, 197725, 59166, 887167]",18,0,18,0.0,0.0,0.0,0.0,0.0
5495,"I'm looking for deep water floats to provide more stability for my kayak. I'm considering getting the KUFA 400' ø1/4"" Non-leaded Sinking Line SL4 as well and it's important that they are compatible. I've also been browsing the KUFA 15"" Inflatable Prawn shrimp Pot Float Buoys F15Y. Do you have any other products like these that you can recommend?","[782102, 899366, 748285, 170906, 483291, 539172, 539168, 485347, 713019, 541329, 341683, 483289, 483295, 68404, 483288, 1033169, 541336, 713015, 483298, 40120, 712048, 331799, 482477, 1033079, 192608, 725081, 133827, 843906, 760582, 301949, 889989, 802008, 102582, 1032462, 364116, 889367, 327125, 99509, 1032848, 284078, 470234, 166570, 372279, 166646, 891299, 629157, 166422, 122941, 552125, 210621]","[712997, 483291, 483289, 483295, 713015, 301566, 541336, 612500, 541334, 713019, 539172, 612491, 828824, 541333, 541329, 541339, 881172, 881129, 68404, 483288]","[782102, 899366, 748285, 170906, 483291, 539172, 539168, 485347, 713019, 541329, 341683, 483289, 712997, 483295, 713015, 301566, 541336, 612500, 541334, 612491]",[541336],1,1,0,1.0,0.0,0.0,0.0,0.058823529411764705
978,"Looking for a dependable 700 x 19 / 23 inner tube for my road bike. Does Vittoria, or any prominent brand, offer such a product?","[931302, 627781, 627778, 627785, 119736, 82708, 24198, 531227, 21436, 204945, 108117, 301983, 692112, 899393, 759569, 841636, 604672, 751198, 931304, 391471, 665329, 540112, 506982, 847877, 607867, 128868, 631709, 631707, 221478, 273271, 221485, 607864, 607865, 221487, 221490, 356483, 696298, 427936, 597812, 467905, 25172, 712323, 467908, 467904, 362788, 467913, 332406, 1033746, 1033023, 1033619]","[627781, 301983, 875168, 941816, 249868, 119736, 443070, 875172, 627778, 90145, 561189, 941815, 933711, 943208, 932163, 727794, 627785, 875173, 875188, 727795]","[931302, 627781, 627778, 627785, 119736, 82708, 24198, 531227, 21436, 204945, 108117, 301983, 875168, 941816, 249868, 443070, 875172, 90145, 561189, 941815]","[627778, 470876, 627785, 39766, 119736, 163450, 21436]",7,4,3,0.5714285714285714,0.0,1.0,1.0,0.3333333333333333
5106,Is there any men's tank top available from Under Armour?,"[638063, 638064, 596802, 638074, 596798, 451281, 451318, 596826, 536067, 451277, 855908, 477529, 931126, 936943, 460820, 733593, 460788, 415254, 205126, 606051, 501463, 606060, 237505, 460742, 385382, 419385, 460730, 460727, 460774, 460815, 148052, 502348, 419402, 841711, 841728, 489147, 770822, 770824, 23015, 549451, 771276, 776089, 785519, 785512, 296817, 484716, 194340, 303689, 194329, 1034809]","[638063, 596802, 638074, 638064, 536067, 596798, 940231, 940230, 451281, 596805, 536076, 596760, 496255, 762605, 680631, 536081, 495679, 460335, 762608, 451318]","[638063, 638064, 596802, 638074, 596798, 451281, 451318, 596826, 536067, 451277, 855908, 477529, 940231, 940230, 596805, 536076, 596760, 496255, 762605, 680631]",[496255],1,1,0,1.0,0.0,0.0,0.0,0.05555555555555555
6900,Are there any hoodies available where the stitching matches the color of the actual garment?,"[664947, 955771, 955829, 955845, 881318, 545341, 709746, 925013, 925014, 955847, 287265, 609753, 645280, 862900, 656918, 648398, 648480, 752618, 568229, 209644, 154700, 591908, 862781, 154660, 200030, 135296, 199762, 928761, 154663, 209637, 154649, 89802, 157156, 725019, 497983, 648470, 648591, 648475, 361840, 658952, 630929, 928290, 780370, 938334, 672040, 816972, 640626, 282452, 420057, 936021]","[704400, 687521, 687512, 687517, 687523, 687516, 683426, 683429, 768529, 295881, 393311, 687529, 19105, 699730, 380896, 679599, 874787, 679215, 672330, 560090]","[664947, 955771, 955829, 955845, 881318, 545341, 709746, 925013, 925014, 955847, 287265, 609753, 704400, 687521, 687512, 687517, 687523, 687516, 683426, 683429]","[669632, 623499, 399467, 623504, 768529, 623505, 695926, 945463, 471070]",9,0,9,0.0,0.0,0.0,0.0,0.0
8595,Can you suggest any fishing flies that would pair well with the Piscifun Sword Fly Fishing Line with Welded Loop Weight Forward Floating Fly Line WF1 2 3 4 5 6 7 8 9 10wt 90 100FT for my upcoming fishing trip in August?,"[693930, 694797, 878765, 841419, 701650, 946651, 824084, 824076, 236295, 102003, 623833, 883358, 821717, 922550, 621834, 148197, 625492, 195700, 858695, 223944, 193928, 450161, 195710, 625705, 450147, 55207, 2568, 874888, 608346, 706267, 405099, 580192, 625240, 667924, 360953, 486819, 486778, 184295, 681209, 535921, 486779, 681861, 360955, 918331, 669824, 1032848, 1032873, 1033195, 1033025, 1033686]","[701650, 668543, 548125, 428718, 668541, 929409, 940604, 477181, 547823, 590476, 444959, 623833, 435269, 769244, 433370, 414356, 827193, 361995, 824059, 731225]","[693930, 694797, 878765, 841419, 701650, 946651, 824084, 824076, 236295, 102003, 623833, 883358, 668543, 548125, 428718, 668541, 929409, 940604, 477181, 547823]","[896508, 705815]",2,0,2,0.0,0.0,0.0,0.0,0.0
8169,Looking for a soft and breathable ballet leotard dress for a baby girl in multiple color options. Can you suggest one?,"[601649, 601654, 417345, 816636, 524813, 848654, 848638, 836424, 176578, 345940, 931098, 270495, 848653, 817056, 936120, 600768, 907157, 848662, 848663, 848651, 848649, 848632, 848636, 848647, 927033, 697812, 831556, 124275, 561304, 935186, 909379, 674141, 681457, 388972, 674144, 579258, 407657, 734668, 585878, 884485, 678448, 674140, 947283, 44615, 191125, 608525, 608551, 951731, 786827, 905914]","[848662, 950501, 848653, 816636, 836424, 524813, 950502, 931098, 434821, 345940, 176578, 176574, 525848, 417345, 601649, 525851, 432722, 600768, 601654, 270495]","[601649, 601654, 417345, 816636, 524813, 848654, 848638, 836424, 176578, 345940, 931098, 270495, 848662, 950501, 848653, 950502, 434821, 176574, 525848, 525851]","[819582, 848643, 819586, 848644, 848648, 848651, 848653, 848654, 865391, 819600, 848638, 848659, 819604, 848662, 848637, 880542, 819583]",17,4,13,0.23529411764705882,0.0,0.0,1.0,0.16666666666666666
6126,"Looking for Heckmann brand tent stakes suitable for outdoor use, specifically ones made of stainless steel for rust-resistance.","[607391, 607496, 607394, 607487, 286886, 945761, 230432, 956803, 93570, 881489, 762008, 953136, 450017, 857541, 98413, 222469, 216450, 24907, 516102, 109775, 874717, 98934, 413833, 953033, 686018, 720071, 264603, 937438, 630291, 935346, 144938, 12093, 433879, 354540, 597659, 390626, 630285, 630288, 354525, 410247, 935344, 864484, 911712, 388653, 856623, 856619, 570109, 856624, 856610, 35558]","[607391, 607496, 607394, 607487, 608068, 228457, 236786, 493898, 211364, 908827, 236777, 517042, 213264, 444603, 236784, 8991, 218162, 171053, 886816, 236789]","[607391, 607496, 607394, 607487, 286886, 945761, 230432, 956803, 93570, 881489, 762008, 953136, 608068, 228457, 236786, 493898, 211364, 908827, 236777, 517042]","[607496, 607394, 607487, 607391]",4,4,0,1.0,1.0,1.0,1.0,1.0
1991,Looking for an athlete-specific headband made from P.R.O. Transfer Lite fabric with Minerale. Does Amazon have one with approximately 52% Minerale polyester and 48% regular polyester composition? Effective moisture management and quick drying are essential features I’m looking for.,"[149928, 224984, 618386, 537831, 588486, 242842, 588484, 769031, 216143, 556431, 902830, 527784, 527791, 172641, 24051, 24033, 95604, 172666, 95609, 172647, 277031, 172650, 172633, 172630, 417503, 902999, 527766, 811990, 289813, 469162, 359306, 359180, 551975, 551974, 551980, 552934, 687116, 687113, 551973, 551969, 551986, 551989, 52449, 558451, 291810, 175617, 52394, 396346, 94077, 1032997]","[149928, 287687, 616805, 122980, 209598, 199885, 382761, 801631, 224984, 287610, 274691, 618386, 623208, 542958, 287605, 154697, 209621, 691343, 285353, 606814]","[149928, 224984, 618386, 537831, 588486, 242842, 588484, 769031, 216143, 556431, 902830, 527784, 287687, 616805, 122980, 209598, 199885, 382761, 801631, 287610]",[149928],1,1,0,1.0,1.0,1.0,1.0,1.0
7829,What are some good quality New Era labeled Gucci hats made from cotton?,"[126843, 369359, 612285, 460367, 358042, 713060, 1000341, 803498, 931924, 221922, 352487, 981645, 499031, 641179, 640329, 514310, 808952, 802001, 499039, 306902, 403663, 370790, 373962, 551488, 183289, 314480, 460366, 234845, 609177, 154145, 249129, 249114, 879948, 486183, 538211, 848211, 425042, 720888, 421366, 426014, 558809, 699705, 507988, 507985, 505074, 632131, 871549, 693343, 312085, 411999]","[808952, 803498, 802001, 126843, 931924, 460367, 127745, 126840, 909030, 37929, 641179, 126844, 499031, 306902, 126838, 128393, 127738, 640329, 460366, 612285]","[126843, 369359, 612285, 460367, 358042, 713060, 1000341, 803498, 931924, 221922, 352487, 981645, 808952, 802001, 127745, 126840, 909030, 37929, 641179, 126844]",[808952],1,1,0,1.0,0.0,0.0,0.0,0.07692307692307693
5764,Do you have any recommendations for a MLB team themed lapel pin that also features Hello Kitty? I'm a big fan and thought it would make an excellent gift.,"[643673, 654544, 293261, 444832, 413324, 643131, 643124, 435506, 293212, 461482, 293236, 839275, 622433, 492655, 436105, 526734, 646722, 444784, 293228, 483264, 293229, 248907, 241998, 173323, 314891, 693407, 229177, 272563, 596280, 588780, 876947, 475427, 541991, 149606, 11817, 68175, 533073, 285079, 533901, 651292, 531718, 276743, 535074, 22243, 38463, 757778, 529602, 1033308, 1033581, 1032478]","[567482, 567454, 567433, 567512, 567435, 567465, 567450, 567452, 567464, 567479, 567438, 567458, 567449, 567444, 567442, 567447, 567443, 567446, 682774, 567463]","[643673, 654544, 293261, 444832, 413324, 643131, 643124, 435506, 293212, 461482, 293236, 839275, 567482, 567454, 567433, 567512, 567435, 567465, 567450, 567452]","[567458, 567464, 567465, 567482, 567435, 567433, 567479, 567438, 567442, 567443, 567444, 567446, 567447, 567512, 567449, 567450, 567452, 567454]",18,8,10,0.4444444444444444,0.0,0.0,0.0,0.07692307692307693
