q_id,q_string,top_20_vss_array,ground_truths_array,ground_truths_missed_array,total_answers,retrieved_count,missed_count,recall@20,recall@50,hit@1,hit@5,mrr
580,"Looking for papers that have either been referenced in ""Study on power coupling of annular vortex beam propagating through a two-Cassegrain-telescope optical system in turbulent atmosphere"" or explore similar features and uses of vortex electron beams in turbulent conditions.","[1496201, 1509232, 1612868, 1650163, 1235022, 1703999, 1406296, 1467284, 1602260, 1709224, 1461517, 1610548, 1470760, 1705923, 1691265, 1438851, 1555848, 1767833, 1690701, 1567208]","[1470760, 1443660]",[1443660],2,1,1,0.5,0.5,0.0,0.0,0.07692307692307693
249,"Find papers related to surface plasmons that cite or are cited by ""Conventional and acoustic surface plasmons on noble metal surfaces: a time-dependent density functional theory study"".","[1523989, 1293463, 1329390, 1622333, 1866215, 1367119, 1372354, 1525119, 1280489, 1442762, 1351367, 1375994, 1436086, 1614565, 1493746, 1611720, 1340370, 1479249, 1182775, 1543702]","[1474298, 1293463]",[1474298],2,1,1,0.5,0.5,0.0,1.0,0.5
9732,Could you show me some papers that delve into the study of fractional order equations within the context of the Hunter-Saxton equation?,"[1734623, 1754815, 1653850, 1279909, 1652851, 1327904, 1699068, 1683718, 1589333, 1668985, 1753365, 1842093, 1728022, 1186312, 1498684, 1729647, 1189321, 1683739, 1866290, 1518788]",[1734623],[],1,1,0,1.0,1.0,1.0,1.0,1.0
12873,"What are the other studies about restraining dark matter using 21-cm cosmology that are also referenced in the ""Bounds on Dark Matter decay from 21 cm line"" paper?","[1806207, 1801620, 1805502, 1837942, 1290385, 1805588, 1854969, 1806092, 1461481, 1831293, 1797200, 1804425, 1656777, 1797535, 1634753, 1281518, 1189567, 1596266, 1522540, 1568432]","[1656777, 1804425, 1522540, 1806092, 1281518, 1805677, 1801620, 1805588, 1797021, 1797535]","[1805677, 1797021]",10,8,2,0.8,0.8,0.0,1.0,0.5
8411,Does Chung Shan Medical University have any research papers on the study of all-optically controllable random lasers in the context of Dye lasers?,"[1347795, 1301338, 1503161, 1721246, 1479221, 1340033, 1473468, 1689976, 1780173, 1699045, 1305347, 1538053, 1342108, 1697295, 1328954, 1453223, 1744582, 1529754, 1763156, 1222978]",[1347795],[],1,1,0,1.0,1.0,1.0,1.0,1.0
1159,Does any research relate Steyr Mannlicher to reflective boundary conditions within the context of Applied Mathematics?,"[1372068, 1309126, 1204740, 1559198, 1272098, 1261454, 1576582, 1470908, 1326903, 1629656, 1795467, 1221378, 1357619, 1203923, 1332655, 1701599, 1574497, 1528427, 1634585, 1213802]",[1783114],[1783114],1,0,1,0.0,0.0,0.0,0.0,0.0
8846,Show me publications by Simone Daflon on B-type stars characteristics.,"[1639545, 1574345, 1353483, 1339911, 1518773, 1184897, 1281696, 1402516, 1232512, 1588440, 1587018, 1286929, 1793470, 1585017, 1720617, 1557460, 1212289, 1723571, 1503681, 1203096]","[1587018, 1855563, 1201333]","[1855563, 1201333]",3,1,2,0.3333333333333333,0.3333333333333333,0.0,0.0,0.09090909090909091
8136,"Looking for research articles on macromolecular crowding, focusing on its impact on molecular mobility, chemical reactions, and gene expression in cellular environments.","[1223528, 1550437, 1642447, 1644094, 1333260, 1742922, 1321979, 1663911, 1474098, 1859610, 1398757, 1378434, 1252232, 1400997, 1717803, 1674454, 1709840, 1203715, 1619957, 1289369]","[1223528, 1865643, 1550437, 1642447]",[1865643],4,3,1,0.75,0.75,1.0,1.0,1.0
4663,Could you show me some papers studying the stability of silver nanoblocks in the Sulfidation field?,"[1246892, 1399257, 1768558, 1315564, 1484286, 1742481, 1686534, 1706899, 1221300, 1397771, 1702467, 1466607, 1345606, 1345535, 1481539, 1590116, 1407226, 1715118, 1395192, 1457007]",[1246892],[],1,1,0,1.0,1.0,1.0,1.0,1.0
5382,Show me publications by Zhuo Chen on electrically tunable wide-spectrum absorptive coatings.,"[1620538, 1869199, 1221807, 1656671, 1818050, 1391131, 1329342, 1736512, 1760859, 1803783, 1764134, 1778876, 1788626, 1832972, 1569142, 1707880, 1772280, 1748402, 1626482, 1700551]","[1620538, 1569142]",[],2,2,0,1.0,1.0,1.0,1.0,1.0
12660,Exciton tunneling research articles by University of Northern British Columbia authors.,"[1323421, 1441161, 1429465, 1353017, 1437671, 1841421, 1216596, 1726942, 1743051, 1339531, 1842567, 1334110, 1636056, 1420735, 1558243, 1328900, 1630689, 1503019, 1569584, 1278407]","[1323421, 1726942]",[],2,2,0,1.0,1.0,1.0,1.0,1.0
6877,"I'm looking for papers with a shared authorship with ""Passive-scheme analysis for solving the untrusted source problem in quantum key distribution"", which additionally delve into the analysis of beam wander effects or are related to the same field concerning how these effects can influence quantum key distribution systems. This is with the aim of exploring future research collaborations with authors experienced in this topic, particularly as it pertains to resolving potential issues that untrusted sources may cause.","[1424144, 1432220, 1628998, 1194492, 1245918, 1277108, 1392061, 1178952, 1328059, 1461572, 1749775, 1400289, 1575006, 1851304, 1847902, 1850750, 1545386, 1502229, 1334570, 1595721]","[1417195, 1544657, 1398200, 1451709, 1521085]","[1417195, 1544657, 1398200, 1451709, 1521085]",5,0,5,0.0,0.0,0.0,0.0,0.0
8155,"Can you search for 2013 Applied Physics Letters publications in the same field, co-authored by one of the authors from ""Ultraviolet Raman spectra of few nanometer thick silicon-on-insulator nanofilms: Lifetime reduction of confined phonons"" that also delve into single silicon nanowires investigations, much like this paper?","[1346368, 1218101, 1374455, 1269404, 1536978, 1230757, 1213768, 1338074, 1273120, 1372901, 1542838, 1343791, 1338775, 1615073, 1512825, 1408832, 1703928, 1175326, 1249885, 1400519]",[1218101],[],1,1,0,1.0,1.0,0.0,1.0,0.5
11927,"Search for Astronomy papers discussing the links between solar activity and magnetic clouds from 1995 to 2012, affiliated with University of the District of Columbia.","[1381553, 1240376, 1340076, 1420615, 1332009, 1742813, 1857570, 1471460, 1562595, 1691415, 1195854, 1382657, 1387796, 1511771, 1633548, 1401525, 1457661, 1588692, 1641933, 1845889]","[1484124, 1401525]",[1484124],2,1,1,0.5,0.5,0.0,0.0,0.0625
7718,"Can you show me studies that not only reference ""Experimental Demonstration of XOR Operation in Graphene Magnetologic Gates at Room Temperature"", but also showcase the detection of spin accumulation in graphene through a current-based approach at room temperature?","[1644063, 1444282, 1322681, 1632068, 1823000, 1579653, 1198384, 1350780, 1522030, 1813903, 1400079, 1368758, 1467966, 1653046, 1269705, 1247700, 1475447, 1859302, 1800383, 1215461]","[1213545, 1444282]",[1213545],2,1,1,0.5,0.5,0.0,1.0,0.5
9014,Search for papers by Adam Smercina on dust and gas properties.,"[1789480, 1462125, 1211976, 1566630, 1741849, 1716385, 1571745, 1866504, 1868159, 1502686, 1209892, 1774895, 1571367, 1286942, 1220853, 1210941, 1621235, 1387747, 1206911, 1235095]",[1795172],[1795172],1,0,1,0.0,0.0,0.0,0.0,0.0
7607,Publications on airflow generation by authors affiliated with Hanoi University of Industry,"[1852714, 1768176, 1509134, 1408372, 1277020, 1449542, 1741118, 1689011, 1353066, 1291374, 1485311, 1777867, 1587528, 1838506, 1748106, 1779403, 1725162, 1407567, 1201381, 1427578]",[1692146],[1692146],1,0,1,0.0,0.0,0.0,0.0,0.0
9258,Does Dongbei University of Finance and Economics have any research papers on the photo-assisted growth of p-type ZnO films related to the study of ionization energy in materials science?,"[1425641, 1244744, 1277158, 1499539, 1756117, 1521999, 1770578, 1739119, 1618478, 1573371, 1364884, 1364941, 1339646, 1643771, 1285008, 1326687, 1765625, 1789312, 1852882, 1848031]",[1739119],[],1,1,0,1.0,1.0,0.0,0.0,0.125
11511,Show me publications by S. Mtougui on magnetic properties.,"[1687642, 1749559, 1459593, 1699614, 1389811, 1442837, 1325912, 1644534, 1498703, 1385948, 1747363, 1197058, 1335976, 1290527, 1686347, 1300910, 1568261, 1344980, 1644698, 1691609]","[1810881, 1858983, 1833963, 1844587, 1853199]","[1810881, 1858983, 1833963, 1844587, 1853199]",5,0,5,0.0,0.0,0.0,0.0,0.0
7100,"Can you find any publications from the co-authors of ""A high-resolution photon-counting breast CT system with tensor-framelet based iterative image reconstruction for radiation dose reduction"", which also explore the quantification of iodine in mammography using similar iterative reconstruction methods?","[1453143, 1394801, 1258249, 1745302, 1545328, 1491076, 1565660, 1380841, 1274281, 1564691, 1436108, 1381618, 1475391, 1743423, 1451278, 1312237, 1504878, 1463957, 1431204, 1581968]","[1589003, 1745302]",[1589003],2,1,1,0.5,0.5,0.0,1.0,0.25
5018,Explore published research on room temperature magnetocaloric effects by authors affiliated with Universidad Autónoma de Ciudad Juárez.,"[1862337, 1305912, 1371599, 1604364, 1719517, 1670778, 1744028, 1244073, 1459036, 1173608, 1819546, 1540342, 1353942, 1673741, 1279197, 1267744, 1356687, 1461423, 1813299, 1733655]","[1357154, 1263301, 1656712, 1279852, 1412528, 1265206, 1305912, 1260633, 1650171, 1524573]","[1357154, 1263301, 1656712, 1279852, 1412528, 1265206, 1260633, 1650171, 1524573]",10,1,9,0.1,0.1,0.0,1.0,0.5
2390,Does Arxiv have any papers from TRW Inc. exploring low-voltage dielectric elastomer actuators (DEAs) and their usage in membrane technologies?,"[1624665, 1250557, 1669795, 1375146, 1479518, 1565712, 1746073, 1552115, 1226135, 1608524, 1701817, 1612827, 1407299, 1312968, 1605297, 1680173, 1421908, 1745360, 1275661, 1727093]",[1624665],[],1,1,0,1.0,1.0,1.0,1.0,1.0
3742,Show me publications by T. Domingo on lifetime measurement studies.,"[1593536, 1855265, 1465639, 1350275, 1487160, 1234956, 1659645, 1724386, 1837872, 1382081, 1414388, 1625843, 1330760, 1655196, 1691038, 1868623, 1690206, 1760992, 1520116, 1546728]","[1742449, 1784006]","[1742449, 1784006]",2,0,2,0.0,0.0,0.0,0.0,0.0
2261,Show me articles by E. Corbel on the modulation of electron heat transport.,"[1602493, 1619137, 1350428, 1640208, 1650601, 1707313, 1214839, 1333518, 1666441, 1364166, 1425469, 1765566, 1719301, 1344112, 1853506, 1357665, 1412195, 1555878, 1368500, 1243683]",[1350428],[],1,1,0,1.0,1.0,0.0,1.0,0.3333333333333333
11019,Publications from Shantilal Shah Engineering College on the impact of oxygen pressure in Physics research,"[1435339, 1677964, 1796299, 1280032, 1499348, 1687128, 1464329, 1567371, 1210728, 1204655, 1244397, 1401362, 1802526, 1506965, 1832854, 1619160, 1662580, 1289639, 1666444, 1370323]",[1250355],[1250355],1,0,1,0.0,0.0,0.0,0.0,0.0
646,"Search for publications in the field of study encompassing black holes intersected by cosmic strings, co-authored by anyone involved in the paper titled ""Critical escape velocity for a charged particle moving around a weakly magnetized Schwarzschild black hole"".","[1636595, 1407233, 1626966, 1786323, 1237043, 1379664, 1253484, 1585959, 1306128, 1498276, 1477411, 1628252, 1314124, 1628330, 1755020, 1357006, 1791949, 1310154, 1396804, 1238176]",[1784076],[1784076],1,0,1,0.0,0.0,0.0,0.0,0.0
4590,Did St. Cloud State University produce any research in 2015 concentrating on protonium formation reactions within the Bound state field?,"[1746918, 1638255, 1397510, 1563307, 1444139, 1782021, 1439190, 1567573, 1281542, 1370924, 1216177, 1266466, 1806476, 1598696, 1622397, 1474583, 1871385, 1639660, 1507947, 1185395]",[1561071],[1561071],1,0,1,0.0,0.0,0.0,0.0,0.0
734,Does any research from Cégep de l'Outaouais explore novel imaging techniques in Optics?,"[1283515, 1809886, 1427372, 1346778, 1668696, 1596350, 1619074, 1394667, 1456171, 1465977, 1558330, 1501820, 1190880, 1343720, 1603570, 1344079, 1585071, 1871570, 1390123, 1337414]","[1738499, 1229416, 1719921, 1479836, 1411070]","[1738499, 1229416, 1719921, 1479836, 1411070]",5,0,5,0.0,0.0,0.0,0.0,0.0
11238,Publications from Institut national des sciences appliquées de Rennes researchers on quantum dot laser modulation characteristics.,"[1392599, 1481420, 1294190, 1365203, 1230233, 1449658, 1653746, 1225554, 1417454, 1358631, 1246526, 1470999, 1673984, 1319108, 1482487, 1311803, 1748533, 1256340, 1355983, 1459566]","[1470999, 1306469, 1665510, 1417454, 1355983, 1392599, 1324407, 1629080]","[1629080, 1306469, 1665510, 1324407]",8,4,4,0.5,0.5,1.0,1.0,1.0
9995,Are there any publications from École nationale supérieure de mécanique et d'aérotechnique on the topic of electrical properties of contacts on silicon carbide?,"[1461298, 1191203, 1841164, 1680012, 1221304, 1630564, 1307142, 1597547, 1344801, 1558158, 1453972, 1205279, 1534627, 1397532, 1475476, 1450811, 1311872, 1442657, 1781453, 1541167]",[1680012],[],1,1,0,1.0,1.0,0.0,1.0,0.25
6535,"Can you show me papers from the co-authors of ""Responsivity-Bandwidth Limit of Avalanche Photodiodes: Toward Future Ethernet Systems"" that focus on design enhancements or changes related to avalanche photodiodes?","[1774630, 1320461, 1426282, 1521854, 1681240, 1662377, 1710777, 1624804, 1780491, 1606141, 1567876, 1614247, 1294397, 1360493, 1357028, 1381031, 1427767, 1546761, 1597671, 1565723]","[1771843, 1774630, 1254854, 1513869, 1320461, 1200141, 1294397, 1404447]","[1771843, 1254854, 1200141, 1513869, 1404447]",8,3,5,0.375,0.375,1.0,1.0,1.0
10441,Are there any 2011 research papers from the Asian Institute of Technology presenting GPS TEC data in the area of Total Electron Content?,"[1370125, 1239556, 1678467, 1722818, 1758297, 1714923, 1659076, 1531302, 1434951, 1830904, 1697021, 1190828, 1665793, 1826946, 1440148, 1541235, 1857627, 1687831, 1687173, 1267756]",[1370125],[],1,1,0,1.0,1.0,1.0,1.0,1.0
12883,"Are there any papers, sharing a coauthor with ""Searching for Beyond the Standard Model Physics with COHERENT Energy and Timing Data"", within a matching subject area that also discuss the recently identified Milky Way satellite Eridanus II?","[1718271, 1188063, 1500617, 1192020, 1702102, 1672839, 1210985, 1813979, 1726090, 1607171, 1761826, 1741834, 1288259, 1748888, 1746856, 1213422, 1200424, 1732850, 1205566, 1622921]","[1203590, 1726090, 1205644, 1712404, 1403830, 1302874, 1766396, 1718271]","[1203590, 1205644, 1712404, 1403830, 1302874, 1766396]",8,2,6,0.25,0.25,1.0,1.0,1.0
9519,"Are there any publications from the International Computer Science Institute on the topic of Solar cells, which use visualization techniques to analyse convolutional neural networks trained on wafer images?","[1859157, 1860861, 1844748, 1579375, 1802255, 1422162, 1230899, 1242618, 1863220, 1372275, 1398024, 1332115, 1466471, 1866797, 1523242, 1594418, 1279192, 1505124, 1830486, 1430626]",[1859157],[],1,1,0,1.0,1.0,1.0,1.0,1.0
2552,"Are there any papers by the co-authors of ""Designing of a polarization beam splitter for the wavelength of 1310 nm on dual-core photonic crystal fiber with high birefringence and double-zero dispersion"" that delve further into advancements in photonic crystal fiber technology?","[1633207, 1703378, 1751480, 1817365, 1462018, 1420358, 1342281, 1176179, 1530848, 1219842, 1648151, 1754402, 1199838, 1641169, 1675429, 1366905, 1709345, 1625062, 1666368, 1515521]","[1434818, 1647492, 1623854, 1185104, 1226448, 1638002, 1322006, 1633207, 1622488]","[1434818, 1647492, 1623854, 1185104, 1226448, 1638002, 1322006, 1622488]",9,1,8,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0
6726,Could you list publications detailing the designs of Chinese solar telescopes used for observing the Sun?,"[1590890, 1501449, 1692738, 1424256, 1663331, 1311738, 1267390, 1604267, 1534601, 1749648, 1683523, 1189616, 1417948, 1231666, 1190904, 1358689, 1317226, 1278826, 1455461, 1689383]","[1424256, 1514339]",[1514339],2,1,1,0.5,0.5,0.0,1.0,0.25
5459,"Are there any research articles linked to Hanyang University that focus on Inductance, particularly introducing circuit coupling to Particle-In-Cell simulations?","[1527536, 1370578, 1401920, 1551850, 1774743, 1700710, 1557062, 1713224, 1735122, 1604671, 1404759, 1413505, 1781712, 1779958, 1587611, 1256586, 1592788, 1213848, 1562114, 1686255]",[1551850],[],1,1,0,1.0,1.0,0.0,1.0,0.25
3620,"Can you find other publications from the co-authors of ""Ultrasmooth metallic films with buried nanostructures for backside reflection-mode plasmonic biosensing"" that delve into the application of high-speed imaging for observing surface-enhanced Raman scattering fluctuations?","[1586498, 1870198, 1731680, 1751136, 1525640, 1529997, 1618632, 1480262, 1288710, 1356484, 1424953, 1309527, 1461078, 1328696, 1338854, 1389897, 1857249, 1254361, 1423029, 1589396]","[1644657, 1870198]",[1644657],2,1,1,0.5,0.5,0.0,1.0,0.5
12251,"What are some articles investigating the link between photon scattering and entanglement that are referenced in the study ""Quantum versus classical effects in two-photon speckle patterns""?","[1659077, 1635095, 1674309, 1200857, 1658699, 1561915, 1356719, 1461829, 1429209, 1392064, 1806408, 1326240, 1518314, 1509288, 1692539, 1674999, 1672072, 1857479, 1287478, 1189680]","[1346735, 1454519]","[1346735, 1454519]",2,0,2,0.0,0.0,0.0,0.0,0.0
11695,"What are the papers mentioned in ""Setting a new standard in the analysis of binary stars: progress and challenges,"" which also discuss the recent discovery of new circumbinary planets after its publication?","[1603078, 1822789, 1226976, 1715601, 1743098, 1247958, 1412425, 1672383, 1474030, 1188224, 1594800, 1353292, 1336863, 1599447, 1692285, 1451935, 1858647, 1531148, 1783204, 1179100]","[1478848, 1554248, 1385044, 1546133, 1463836, 1541214]","[1478848, 1554248, 1385044, 1546133, 1463836, 1541214]",6,0,6,0.0,0.0,0.0,0.0,0.0
238,Show me research articles about Molecular Fingerprint involving the investigation of waveform-stable pulses.,"[1853234, 1301757, 1196399, 1175647, 1500057, 1477514, 1238828, 1444181, 1697286, 1738500, 1500486, 1263591, 1234505, 1675231, 1217143, 1722947, 1521029, 1635498, 1267561, 1452306]",[1853234],[],1,1,0,1.0,1.0,1.0,1.0,1.0
9596,Which publications from the Silicon Institute of Technology's researchers have computations on radioactive half-lives?,"[1279394, 1573602, 1519950, 1817256, 1482272, 1453440, 1251806, 1813931, 1810868, 1524965, 1558367, 1755254, 1247039, 1378949, 1839415, 1193449, 1531896, 1330355, 1392734, 1519406]","[1503731, 1431437]","[1503731, 1431437]",2,0,2,0.0,0.0,0.0,0.0,0.0
8491,Show me publications by Spiros Margetis investigating the relationship between baryon-strangeness correlations and collision energy.,"[1872667, 1788556, 1287438, 1643696, 1372702, 1596058, 1770420, 1608785, 1499517, 1736461, 1318250, 1657832, 1634140, 1777437, 1668980, 1402125, 1403601, 1700978, 1418927, 1829803]",[1852452],[1852452],1,0,1,0.0,0.0,0.0,0.0,0.0
7083,"Are there any studies that explore the impact of alloying on the number of citations for the research paper entitled ""Electronic, magnetic and thermal properties of Co2CrxFe1−xX (X=Al, Si) Heusler alloys: First-principles calculations""?","[1670853, 1758853, 1239248, 1313257, 1181829, 1394860, 1402910, 1222717, 1781946, 1435121, 1701259, 1635684, 1650077, 1280859, 1519725, 1799256, 1265361, 1183715, 1654679, 1791630]","[1265361, 1303621]",[1303621],2,1,1,0.5,0.5,0.0,0.0,0.058823529411764705
11704,Could you find some papers related to the Toroidal moment demonstrating a higher frequency toroidal moment?,"[1590751, 1529074, 1477760, 1597616, 1617674, 1282466, 1773708, 1677172, 1467735, 1592563, 1745279, 1446829, 1227774, 1554845, 1392929, 1676186, 1602437, 1376897, 1747460, 1465921]","[1676186, 1773708, 1774108, 1497420]","[1774108, 1497420]",4,2,2,0.5,0.5,0.0,0.0,0.14285714285714285
10072,"Search for papers with shared authorship with ""Calculation and Analysis of Rotor Eddy Current Loss of Permanent Magnet-Inductor Hybrid Excited Synchronous Generator"", related to the study of axial flux permanent magnet machines, and that specifically analyze three stator structures for axial field flux-switching permanent magnet machines.","[1585480, 1588409, 1219102, 1598677, 1274512, 1611650, 1458970, 1593166, 1668191, 1595225, 1205849, 1616010, 1380354, 1279269, 1215017, 1682682, 1237579, 1606435, 1326266, 1820332]",[1484557],[1484557],1,0,1,0.0,0.0,0.0,0.0,0.0
4537,"Could you find the papers authored by the coauthors of ""Intensity Noise in Ultra-High Frequency Modulated Semiconductor Laser with Strong Feedback and its Influence on Noise Figure of ROF Links"" that also discuss significant angular dispersion?","[1265800, 1487895, 1562159, 1216743, 1325418, 1669406, 1534078, 1750583, 1311462, 1246059, 1240610, 1625143, 1849633, 1780473, 1291496, 1433702, 1236680, 1456889, 1317131, 1345422]","[1475808, 1412898, 1600067, 1464714, 1537211, 1278614, 1290200, 1535323]","[1475808, 1412898, 1600067, 1464714, 1537211, 1278614, 1290200, 1535323]",8,0,8,0.0,0.0,0.0,0.0,0.0
2226,Are there any papers from Sun Yat-sen University of Medical Sciences researchers that analyze the use of Raman spectroscopy in diagnosing nasopharyngeal carcinoma?,"[1455850, 1258516, 1406667, 1786167, 1835621, 1549199, 1551260, 1661984, 1299887, 1364277, 1379280, 1263054, 1344145, 1305714, 1677163, 1297063, 1514565, 1466904, 1496134, 1294830]",[1406667],[],1,1,0,1.0,1.0,0.0,1.0,0.3333333333333333
4706,Are there any research publications from Eastern Washington University that examine hydrogen bonding nuances in frustrated magnetic substances with a specific focus on Rotational symmetry?,"[1644025, 1654433, 1319513, 1811570, 1801415, 1832784, 1685643, 1562522, 1711981, 1521543, 1337313, 1231201, 1410741, 1239294, 1812013, 1652850, 1309932, 1505716, 1803606, 1624055]",[1801690],[1801690],1,0,1,0.0,0.0,0.0,0.0,0.0
9123,Banwarilal Bhalotia College author publications on new nanomaterial coating methods,"[1277905, 1430094, 1330148, 1728782, 1274600, 1595475, 1296215, 1349857, 1823313, 1741216, 1714052, 1628773, 1800151, 1265659, 1442252, 1292529, 1277980, 1411390, 1714543, 1243219]",[1339439],[1339439],1,0,1,0.0,0.0,0.0,0.0,0.0
8889,Are there any studies or papers from M/A-COM Technology Solutions on the integration of lasers into silicon?,"[1383074, 1559564, 1852538, 1221102, 1736603, 1368585, 1811911, 1854257, 1273096, 1578527, 1229532, 1759446, 1375719, 1765976, 1738489, 1704093, 1623885, 1232197, 1674857, 1871151]",[1674857],[],1,1,0,1.0,1.0,0.0,0.0,0.05263157894736842
12958,Could you show me some papers exploring the relationship between sodium layers and meteor showers in the context of meteor shower studies?,"[1594459, 1529493, 1274731, 1773656, 1562611, 1606783, 1461767, 1244178, 1730319, 1502381, 1361561, 1541631, 1514916, 1548526, 1403058, 1186588, 1446531, 1366430, 1431489, 1533214]","[1594459, 1529493]",[],2,2,0,1.0,1.0,1.0,1.0,1.0
4652,Show me papers authored by Higher Technological Institute researchers on the topic of soliton wave solutions.,"[1515483, 1781695, 1796094, 1179432, 1249597, 1856323, 1786108, 1786994, 1857291, 1744044, 1827292, 1180104, 1656815, 1733554, 1738300, 1273853, 1786564, 1777402, 1559239, 1846911]","[1872688, 1859666, 1859059, 1855707]","[1872688, 1859666, 1859059, 1855707]",4,0,4,0.0,0.0,0.0,0.0,0.0
7577,"What other astronomy instrumentation papers have referenced or been inspired by the ""FRIDA, the diffraction limited NIR imager and IFS for the Gran Telescopio Canarias: status report"" study?","[1243651, 1476959, 1193744, 1261437, 1381309, 1439576, 1361440, 1475272, 1265614, 1795260, 1644487, 1697164, 1834265, 1261813, 1846643, 1412614, 1502524, 1340188, 1583609, 1284429]","[1361440, 1261437, 1476959, 1381309]",[],4,4,0,1.0,1.0,0.0,1.0,0.5
3650,"I'm looking for papers with at least one shared co-author with ""A wideband electro-optic modulator based on long range surface plasmon resonances"". Ideally, these papers will also belong to the sphere of plasmonics or integrated photonics. I'm particularly interested in works that showcase photonic microwave up-conversion via long range surface plasmon resonances, similar to continuous wave laser modulation.","[1219647, 1594080, 1409777, 1469405, 1268257, 1338421, 1515397, 1744845, 1526786, 1448568, 1598731, 1512068, 1480934, 1526756, 1847139, 1675423, 1193611, 1388369, 1650892, 1864401]","[1571170, 1469347, 1298695, 1524651, 1284140, 1370962, 1506835, 1265716, 1414901, 1755550]","[1571170, 1469347, 1298695, 1524651, 1284140, 1370962, 1506835, 1265716, 1414901, 1755550]",10,0,10,0.0,0.0,0.0,0.0,0.0
