id,ground_truths,query,original_answers,reranked_answers,hit_at_1,hit_at_5,mrr,recall_at_20
10069,[111],"Identify the common genetic targets that interact with both N-[(2',4'-Difluoro-4-hydroxy-5-iodobiphenyl-3-yl)carbonyl]-beta-alanine and 2-(2,6-Dichlorophenyl)-1,3-benzoxazole-6-carboxylic acid.","[111, 29, 9495, 8038, 4640, 244, 7558, 3996, 5137, 4985, 2805, 4508, 2158, 9075, 1831, 8414, 11009, 2819, 6747, 413]","[111, 29, 9495, 8038, 4640, 244, 7558, 3996, 5137, 4985, 2805, 4508, 2158, 9075, 1831, 8414, 11009, 2819, 6747, 413]",1.0,1.0,1.0,1.0
768,"[99105, 99106, 99107, 33271, 99109, 30376, 31629, 99247, 94839, 27609]",What diseases associated with chromosomal abnormalities can lead to stunted physical growth and cognitive impairments?,"[31416, 32378, 27376, 27544, 32976, 32102, 33082, 29779, 30465, 32185, 28619, 31066, 27852, 28623, 28296, 28783, 99734, 31944, 27330, 31413]","[31416, 32378, 27376, 27544, 32102, 33082, 28619, 28783, 32976, 30465, 32185, 99734, 31944, 27330, 31413, 29779, 31066, 27852, 28623, 28296]",0.0,0.0,0.0,0.0
3093,"[31754, 27547, 38252]",What condition could be linked to FAM111A gene or protein modifications in individuals with bone sclerosis and denser long bones?,"[27547, 38252, 31754, 30423, 29180, 83869, 36999, 36634, 29646, 94637, 37115, 94638, 33643, 28455, 83870, 38162, 36201, 28774, 38425, 94914]","[27547, 38252, 31754, 30423, 29180, 83869, 36999, 36634, 29646, 94637, 37115, 94638, 33643, 28455, 83870, 38162, 36201, 28774, 38425, 94914]",1.0,1.0,1.0,1.0
9732,"[45193, 47627, 50011, 103928, 112264]",Which biological processes share a similar interaction pattern with genes or proteins as the positive regulation of exoribonuclease activity is observed in?,"[48187, 43635, 109983, 50011, 107636, 50012, 48189, 46239, 48188, 47753, 50795, 110090, 52085, 113179, 46238, 111260, 50070, 40379, 46240, 46879]","[48187, 43635, 109983, 50011, 107636, 50012, 48189, 46239, 48188, 47753, 50795, 110090, 52085, 113179, 46238, 111260, 50070, 40379, 46240, 46879]",0.0,1.0,0.25,0.2
6708,"[94418, 94210, 94316]",Which phenotypic manifestations or effects are associated with the subtype of acute biphenotypic leukemia?,"[94418, 94316, 94210, 86289, 86308, 26281, 22923, 24478, 33749, 22916, 22934, 84993, 22918, 84890, 25620, 94419, 94152, 94308, 85995, 94382]","[94418, 94316, 94210, 86289, 86308, 26281, 22923, 24478, 33749, 22916, 22934, 84993, 22918, 84890, 25620, 94419, 94152, 94308, 85995, 94382]",1.0,1.0,1.0,1.0
5950,[27831],Identify conditions unresponsive to medication that correlate with increased liver iron levels.,"[29761, 27831, 30776, 28176, 30402, 27324, 29390, 28577, 30011, 28183, 27772, 32389, 28134, 29923, 27187, 29810, 89344, 25626, 85501, 85428]","[30776, 29761, 28176, 30402, 27324, 29390, 28577, 30011, 28183, 27772, 32389, 28134, 29923, 27187, 29810, 27831, 89344, 25626, 85501, 85428]",0.0,0.0,0.0625,1.0
11077,[29113],Find medical conditions linked to the gene SLC29A3 that should not be treated with the drug Goserelin.,"[29113, 27219, 27933, 28407, 37044, 36043, 35583, 30438, 36453, 37703, 83840, 36923, 28552, 33528, 31109, 99985, 35466, 29642, 83817, 29307]","[36043, 30438, 29113, 27219, 28407, 36453, 27933, 37703, 83840, 36923, 28552, 33528, 31109, 35583, 99985, 35466, 29642, 83817, 37044, 29307]",0.0,1.0,0.3333333333333333,1.0
4438,"[8034, 57603, 61258, 61259, 61260, 61261, 8878, 61262, 61263, 61264, 61265, 61266, 61267, 61268, 61269, 5874, 57658, 701]","I need to find a gene or protein that interacts with the cis-Golgi network and contributes to the organization of the Golgi apparatus. It should be involved in regulating Golgi structure and function specifically within the Golgi cis cisterna, the Golgi cisterna membrane, and the cis-Golgi network. Can you supply information on any genes or proteins that fit this description?","[6508, 7582, 61261, 12345, 7528, 61258, 61262, 61269, 61263, 61260, 61265, 61264, 61267, 61266, 56666, 6600, 701, 7115, 1542, 11119]","[12345, 61258, 61262, 61269, 61263, 61260, 61265, 61264, 61267, 61266, 61261, 56666, 701, 6508, 7528, 7582, 6600, 7115, 1542, 11119]",0.0,1.0,0.5,0.6111111111111112
5928,"[24225, 23564, 22757, 22759]",What are the observed effects or phenotypes associated with the subtype of hereditary papillary renal cell carcinoma?,"[24225, 86780, 88947, 88948, 24212, 94409, 86789, 90431, 86796, 94186, 86781, 87974, 90641, 91956, 87503, 89966, 84511, 24226, 22959, 89313]","[86780, 88947, 24225, 88948, 94409, 86789, 90431, 86781, 94186, 87974, 91956, 87503, 84511, 24226, 90641, 22959, 24212, 86796, 89966, 89313]",0.0,1.0,0.3333333333333333,0.25
8037,"[63952, 64778, 63235, 64876]",Which anatomical structures lack the expression of genes or proteins involved in the interaction with the organization of actin cytoskeleton in postsynaptic terminals?,"[63826, 66747, 64800, 64778, 67302, 64876, 63149, 64799, 64338, 64512, 63180, 65509, 63466, 63680, 63921, 64814, 63584, 63119, 63359, 63431]","[63826, 66747, 64800, 64778, 67302, 64876, 63149, 64799, 64338, 64512, 63180, 65509, 63466, 63680, 63921, 64814, 63431, 63359, 63119, 63584]",0.0,1.0,0.25,0.5
4259,"[13664, 11205, 6887, 5448, 3145, 3147, 11641, 5884, 765]","Could you identify enzymes that bind metal ions, are active in protein polyubiquitination, and play a role in both Antigen processing through Ubiquitination and Proteasome degradation?","[57205, 1513, 5026, 4301, 9859, 5479, 5483, 11989, 13183, 11676, 765, 136, 8, 7234, 4085, 9493, 63108, 63110, 2997, 63109]","[57205, 1513, 4301, 9859, 5026, 5479, 5483, 11989, 13183, 11676, 765, 136, 4085, 8, 7234, 9493, 2997, 63108, 63110, 63109]",0.0,0.0,0.09090909090909091,0.1111111111111111
3815,[37440],What conditions should be included in the differential diagnosis for a patient presenting with a breast carcinoma subtype linked to both invasive ductal carcinoma and cystic hypersecretory carcinoma?,"[96661, 36798, 37443, 96143, 96113, 39858, 96467, 37334, 94666, 94693, 35737, 96483, 37655, 96468, 96321, 37440, 97016, 37132, 96589, 96805]","[96661, 36798, 37443, 96143, 96113, 39858, 96467, 37334, 94666, 94693, 35737, 96483, 37655, 96468, 96321, 37440, 97016, 37132, 96589, 96805]",0.0,0.0,0.0625,1.0
5496,"[96249, 96941]",What are the diseases derived from cervical benign epithelial neoplasms?,"[96249, 96940, 36081, 36567, 35791, 39706, 96941, 35741, 99582, 99709, 98874, 98909, 95812, 37100, 36402, 37102, 94981, 97265, 36256, 36945]","[96249, 96940, 36567, 35791, 39706, 96941, 36081, 35741, 99582, 98874, 99709, 98909, 37100, 95812, 36402, 94981, 97265, 37102, 36945, 36256]",1.0,1.0,1.0,1.0
5772,"[23162, 23915]",What are the observed effects or phenotypes associated with constrictive pericarditis subtypes?,"[86116, 84948, 23915, 86125, 86128, 86756, 91058, 22859, 84394, 88874, 25447, 94414, 23921, 94441, 88872, 86140, 86121, 26946, 22824, 85857]","[86116, 84948, 23915, 86128, 25447, 94414, 22859, 23921, 84394, 94441, 86140, 86125, 91058, 88874, 86121, 22824, 86756, 88872, 26946, 85857]",0.0,1.0,0.3333333333333333,0.5
10117,"[108356, 44625, 106193, 103667, 46101, 42615, 111482, 48219, 112316]",Could you identify the biological processes that are involved with or influenced by the gene or protein linked to Distal Sensory Impairment?,"[43501, 102604, 53213, 46467, 110298, 106194, 46960, 109207, 41524, 40082, 40976, 114094, 42844, 51547, 53059, 47425, 109925, 49957, 46873, 111174]","[43501, 53213, 46467, 110298, 106194, 102604, 46960, 109207, 41524, 40082, 40976, 114094, 42844, 51547, 53059, 111174, 47425, 49957, 46873, 109925]",0.0,0.0,0.0,0.0
5699,[16019],"Can you give me a list of drugs that target the FLT4 gene/protein and also suppress inflammation, edema, and angiogenesis?","[16021, 16019, 16018, 15230, 15020, 15674, 15002, 16022, 15752, 15599, 15205, 14413, 14945, 16020, 16492, 18187, 16510, 14449, 14373, 15680]","[16019, 16021, 16018, 15230, 15020, 15674, 15002, 16022, 15752, 15599, 15205, 14413, 14945, 16020, 16492, 16510, 18187, 14449, 14373, 15680]",1.0,1.0,1.0,1.0
7152,"[94307, 22349, 22335]",What are the observed effects or phenotypes associated specifically with the subtype of suppurative uveitis?,"[22335, 94307, 88762, 25844, 22349, 25843, 25415, 24425, 88772, 84469, 22400, 24423, 26090, 87212, 22613, 24416, 89983, 89008, 24417, 22604]","[22335, 94307, 88762, 25844, 22349, 25415, 25843, 24425, 88772, 84469, 22400, 24423, 26090, 87212, 22613, 24416, 89983, 24417, 89008, 22604]",1.0,1.0,1.0,1.0
10551,[111],"Which genes encode proteins that interact with both O-Trifluoromethylphenyl Anthranilic Acid and N-(3,5-dibromo-4-hydroxyphenyl)benzamide as ligands?","[111, 1831, 452, 9610, 8877, 197, 5137, 9088, 4688, 9136, 315, 10385, 3392, 9181, 1986, 8974, 5688, 9929, 22092, 10901]","[111, 1831, 452, 9610, 8877, 197, 5137, 9088, 4688, 9136, 315, 10385, 3392, 9181, 1986, 8974, 5688, 9929, 22092, 10901]",1.0,1.0,1.0,1.0
7224,[14558],"Which medication, facilitated by gene or protein interactions with the sarcolemma, exhibits minimal impact on blood gases, respiratory function, and the cardiovascular system?","[14386, 14228, 14861, 15308, 16219, 14784, 14315, 14644, 14136, 14511, 15446, 16991, 16672, 14838, 20339, 19617, 16310, 17217, 21009, 15962]","[14386, 14228, 14861, 15308, 16219, 14784, 14315, 14644, 14511, 16672, 15446, 14838, 16991, 20339, 14136, 19617, 16310, 17217, 21009, 15962]",0.0,0.0,0.0,0.0
2287,[39750],What diseases are subclassified under secondary malignant neoplasms and have metastatic potential?,"[39750, 39751, 36496, 39748, 39749, 35612, 84263, 37619, 99925, 99926, 83825, 37682, 37498, 36557, 35965, 97069, 35633, 99581, 35727, 35468]","[39750, 39751, 39749, 84263, 36496, 37619, 99925, 99926, 83825, 37498, 39748, 35612, 37682, 35965, 97069, 36557, 99581, 35727, 35633, 35468]",1.0,1.0,1.0,1.0
1804,[12390],"Please find me genes or proteins linked to pediatric liver cancer, interacting with PAXIP1, highly expressed in lung adenocarcinoma, with a nuclear signal and similarity to GAGE/PAGE proteins.","[12390, 1641, 2037, 769, 8289, 505, 5558, 42, 33983, 5240, 3807, 924, 500, 729, 13191, 11730, 5164, 12752, 7884, 56863]","[12390, 769, 11730, 8289, 3807, 1641, 2037, 505, 42, 33983, 5240, 924, 729, 5558, 500, 13191, 5164, 12752, 7884, 56863]",1.0,1.0,1.0,1.0
1989,[32731],"What possible conditions could I have that are linked to or similar to uniparental disomy of chromosome X, particularly if this led to me inheriting two copies of a recessive gene from my mother?","[30826, 28350, 27305, 30924, 29694, 84105, 27202, 31726, 35966, 38292, 30592, 31662, 30047, 32443, 32320, 32731, 32724, 98770, 98771, 39314]","[35966, 32320, 32731, 32724, 98770, 98771, 30826, 28350, 27305, 30924, 29694, 84105, 27202, 31726, 38292, 30592, 31662, 30047, 32443, 39314]",0.0,1.0,0.3333333333333333,1.0
4242,[14844],Can you recommend medications that treat both eosinophilic pneumonia and a parasitic worm infection?,"[18799, 14844, 14019, 19177, 14023, 18798, 14030, 15003, 14024, 14320, 14269, 14028, 14042, 15307, 14698, 15450, 15644, 15365, 15647, 14696]","[14844, 18799, 19177, 18798, 14030, 15307, 14024, 14269, 14028, 14698, 15450, 14019, 14023, 15003, 14320, 14042, 15644, 15365, 15647, 14696]",1.0,1.0,1.0,1.0
2080,[15572],What are the recommended medications for managing BCR-ABL1 positive blast phase CML?,"[14794, 15030, 15187, 15970, 14207, 15572, 15964, 15683, 15674, 15967, 15599, 15134, 15969, 15966, 15968, 19620, 15748, 14450, 15805, 15750]","[14794, 15030, 15187, 14207, 15970, 15572, 15964, 15674, 15599, 15134, 15683, 15967, 15969, 15966, 15968, 19620, 15748, 14450, 15805, 15750]",0.0,0.0,0.16666666666666666,1.0
3755,[31517],What hereditary diseases are associated with the HLA-C gene?,"[39870, 30299, 35438, 28896, 28543, 35441, 29161, 83817, 30768, 30582, 30223, 30201, 94920, 38641, 30066, 27420, 28347, 38262, 31506, 39271]","[39870, 30299, 35438, 28896, 28543, 35441, 29161, 83817, 30768, 30582, 30201, 38641, 30066, 27420, 28347, 30223, 38262, 31506, 94920, 39271]",0.0,0.0,0.0,0.0
11152,[111],"Identify common genetic targets of both 3-({[(1Z)-(2-methoxyphenyl)methylidene]amino}oxy)propanoic acid and 2,6-dimethyl-4-[(E)-2-phenylethenyl]phenol.","[111, 1986, 651, 5930, 40, 56559, 9055, 1246, 29, 1170, 1373, 375, 5923, 6043, 9136, 12126, 8974, 11009, 11396, 4569]","[111, 1986, 651, 5930, 40, 56559, 9055, 1246, 29, 1170, 1373, 375, 5923, 6043, 9136, 12126, 8974, 11009, 11396, 4569]",1.0,1.0,1.0,1.0
8732,[2387],Please identify the common gene targets that both Hydrocortisone phosphate and Testosterone propionate interact with.,"[2387, 4152, 8974, 509, 13313, 13122, 12537, 1424, 10901, 12434, 10312, 34801, 697, 363, 452, 9181, 5198, 5248, 5222, 77151]","[2387, 8974, 4152, 509, 13313, 13122, 12537, 1424, 10901, 12434, 10312, 34801, 697, 363, 452, 9181, 5198, 5248, 5222, 77151]",1.0,1.0,1.0,1.0
2855,[39274],What genetic disorder associated with the PMP22 gene manifests symptoms similar to acute sensory ataxic neuropathy?,"[95012, 27625, 95011, 31538, 27530, 95014, 95010, 27775, 95009, 39274, 31973, 37865, 37354, 39273, 38539, 30636, 30406, 27793, 27801, 31519]","[95012, 27625, 95011, 31538, 27530, 95014, 95010, 27775, 95009, 39274, 31973, 37865, 37354, 39273, 38539, 30636, 30406, 27793, 27801, 31519]",0.0,0.0,0.1,1.0
8602,[2387],Identify common genetic targets modulated by both 2-Methoxyestradiol and Hydrocortisone probutate.,"[2387, 2756, 12769, 452, 201, 4315, 497, 1373, 8205, 5930, 3209, 375, 3183, 4389, 7434, 509, 9181, 5248, 13122, 8219]","[2387, 2756, 12769, 452, 201, 4315, 497, 1373, 8205, 5930, 3209, 375, 3183, 4389, 7434, 509, 9181, 5248, 13122, 8219]",1.0,1.0,1.0,1.0
10675,"[33738, 93734, 94246, 94374]",What are the observed effects or phenotypes associated with the subtype of gastritis induced by alcohol consumption?,"[94246, 94374, 93734, 33738, 22380, 22681, 24423, 22676, 26180, 24436, 94139, 85558, 94271, 22746, 22400, 90791, 22987, 94021, 86156, 86153]","[94246, 94374, 93734, 33738, 22380, 22681, 24423, 22676, 26180, 24436, 94139, 85558, 94271, 22746, 22400, 90791, 22987, 94021, 86156, 86153]",1.0,1.0,1.0,1.0
3426,[3012],"Could you find genes or proteins that bind to integrins, are involved in Syndecan signaling, and play a role in pyloric atresia onset or progression?","[769, 2037, 282, 1616, 1260, 1020, 6550, 1803, 4252, 454, 7447, 5592, 691, 1091, 6916, 964, 77646, 78711, 835, 81411]","[769, 2037, 282, 1616, 1260, 1020, 6550, 1803, 4252, 454, 7447, 5592, 691, 1091, 6916, 964, 77646, 78711, 835, 81411]",0.0,0.0,0.0,0.0
7867,"[63824, 64876]",Which anatomical structures lack the expression of genes or proteins that play a role in the interaction with the development of the metanephric nephron?,"[63235, 64800, 64675, 63273, 67302, 64799, 65990, 64338, 63149, 65509, 68030, 64778, 63466, 64313, 68618, 67074, 63180, 63173, 67230, 67242]","[63235, 64800, 63273, 67302, 64799, 65990, 64338, 63149, 65509, 68030, 64778, 63466, 64313, 64675, 68618, 67074, 63180, 63173, 67230, 67242]",0.0,0.0,0.0,0.0
9579,[4003],What are the common gene targets associated with both Chromium and Chromous sulfate exposure or interactions?,"[8974, 5292, 13807, 7880, 3955, 10412, 127437, 4569, 9138, 4837, 12769, 10901, 2124, 2094, 12697, 4244, 34026, 6747, 8212, 12052]","[8974, 5292, 13807, 7880, 3955, 10412, 127437, 4569, 9138, 4837, 12769, 10901, 2124, 2094, 12697, 4244, 34026, 6747, 8212, 12052]",0.0,0.0,0.0,0.0
4507,[15149],Can you assist in identifying a drug used to treat acute myeloid leukemia in adults that may also have Non-Hodgkin lymphoma as a possible side effect?,"[15263, 14713, 14791, 15149, 14780, 14663, 14789, 15414, 15018, 16495, 14628, 15739, 14313, 14275, 14764, 15187, 18102, 14207, 19612, 21500]","[15263, 15149, 15018, 14713, 14791, 14780, 14789, 15414, 16495, 15739, 14628, 14275, 14313, 14663, 14764, 18102, 21500, 15187, 14207, 19612]",0.0,1.0,0.5,1.0
9714,"[35909, 30382, 35953, 38040, 33598]","What condition, characterized by an abrupt neurological deficit stemming from a cerebrovascular disturbance, also serves as a reason to avoid medications prescribed for the treatment of secondary hypopituitarism?","[33598, 30382, 35909, 38040, 35641, 37768, 37573, 36330, 36469, 28017, 83815, 32394, 83767, 35761, 31618, 32738, 32736, 97510, 39539, 32217]","[33598, 30382, 35909, 38040, 35641, 37768, 37573, 36330, 28017, 35761, 83815, 32394, 83767, 32738, 36469, 31618, 39539, 32736, 97510, 32217]",1.0,1.0,1.0,0.8
5318,[20595],Can you give me a list of drugs used for respiratory infections that are also researched in treating both kinds of Tuberculosis and Community Acquired Pneumonia in clinical trials?,"[15697, 14465, 15325, 20308, 15419, 14309, 20203, 20208, 15180, 20407, 14167, 14285, 15353, 20415, 14995, 14267, 15600, 15547, 14451, 20402]","[15697, 14465, 15325, 20308, 15419, 14309, 20208, 20203, 15180, 14285, 14995, 20407, 14167, 15353, 20415, 14267, 15600, 15547, 14451, 20402]",0.0,0.0,0.0,0.0
5883,[27835],Identify diseases that lack associated therapeutic drugs and are correlated with elevated levels of circulating surfactant proteins.,"[27351, 31631, 32483, 32659, 30892, 33063, 39872, 30661, 83905, 33091, 36812, 28456, 35565, 31116, 28249, 98100, 38754, 98542, 29735, 29822]","[27351, 31631, 32483, 32659, 30892, 33063, 39872, 30661, 36812, 98100, 38754, 98542, 83905, 28456, 33091, 35565, 31116, 29735, 29822, 28249]",0.0,0.0,0.0,0.0
8814,"[22264, 22373, 22604, 25900, 84767, 84814, 88744, 88765, 89294]",What are the characteristic symptoms or manifestations observed in patients with the epidemic subtype of keratoconjunctivitis?,"[22604, 89294, 84814, 88765, 88744, 22264, 25900, 22373, 84767, 88988, 25843, 22612, 26262, 22616, 22410, 22605, 94222, 91574, 89008, 84659]","[89294, 84814, 22604, 88765, 88744, 22264, 25900, 84767, 88988, 22612, 22373, 22616, 25843, 26262, 22410, 22605, 94222, 91574, 84659, 89008]",1.0,1.0,1.0,1.0
3632,[1424],Please find genes and proteins involved in Glucocorticoid biosynthesis that also functionally interact with steroid binding.,"[1424, 9181, 3894, 13122, 509, 5248, 2387, 34059, 35040, 3043, 8974, 10312, 3501, 463, 7105, 792, 12902, 7130, 8318, 11562]","[1424, 9181, 3894, 13122, 509, 34059, 2387, 35040, 3043, 8974, 10312, 3501, 5248, 463, 7105, 792, 12902, 7130, 8318, 11562]",1.0,1.0,1.0,1.0
7523,"[14242, 14318, 14175]","Could you provide a list of medications that not only interact synergistically with Cefalotin but are also prescribed for treating the same conditions, and possess a prolonged half-life, approximately 20 hours, for extended efficacy in conjunction with Cefalotin?","[20207, 20261, 14773, 14318, 20485, 20264, 14332, 20655, 17376, 20700, 20249, 14335, 20670, 20208, 14333, 14172, 14169, 20235, 20729, 14942]","[20207, 20261, 14318, 20485, 14332, 17376, 20700, 20249, 14335, 20670, 20208, 14773, 20655, 20264, 14333, 14169, 20235, 20729, 14942, 14172]",0.0,1.0,0.3333333333333333,0.3333333333333333
1118,[35645],Could you share a list of neurodegenerative conditions related to cerebral folate transport issues or diseases tied to isolated familial vitamin E deficiencies?,"[28900, 31820, 30577, 28401, 32526, 32761, 27452, 32678, 32195, 30543, 28262, 27700, 38761, 35915, 28313, 29451, 99974, 38628, 38192, 27493]","[28900, 31820, 30577, 28401, 32526, 32761, 27452, 32678, 32195, 30543, 28262, 27700, 38761, 35915, 28313, 29451, 99974, 38628, 38192, 27493]",0.0,0.0,0.0,0.0
2236,"[14176, 15497]",Could you find any drugs that target the CHRNA3 receptor and have a half-life ranging from 1 to 16 days?,"[19713, 17889, 15497, 14176, 14880, 14830, 14160, 15104, 14544, 17650, 14137, 18028, 17132, 17891, 14587, 14124, 17217, 14122, 14942, 19174]","[14176, 17889, 15497, 14880, 14830, 14160, 15104, 19713, 14544, 14137, 18028, 17891, 17132, 14124, 17650, 14587, 14122, 14942, 17217, 19174]",1.0,1.0,1.0,1.0
8757,[34739],"Which gene or protein, believed to play a role in inhibiting the canonical Wnt signaling pathway, is undetectable in both the small intestine and tonsil tissues?","[34739, 1996, 9005, 56501, 34753, 2732, 22021, 5610, 6034, 13062, 13068, 3429, 6761, 60165, 59529, 4050, 5158, 34871, 13615, 10372]","[34739, 1996, 9005, 56501, 34753, 2732, 22021, 5610, 6034, 13062, 13068, 3429, 6761, 60165, 59529, 4050, 5158, 34871, 13615, 10372]",1.0,1.0,1.0,1.0
10518,[8682],Which genes or proteins are present in the gallbladder but not expressed in the metanephric glomerulus?,"[8682, 11504, 1197, 12485, 60599, 1994, 7605, 35211, 13631, 5508, 7164, 2971, 11845, 34429, 4315, 22105, 5188, 3470, 79070, 13733]","[4315, 8682, 22105, 5188, 3470, 11504, 1197, 12485, 60599, 1994, 7605, 35211, 13631, 5508, 7164, 79070, 13733, 2971, 11845, 34429]",0.0,1.0,0.5,1.0
10726,"[417, 6589, 2057]","Which gene or protein, characterized by the presence of seven immunoglobulin domains and playing a role in cell adhesion, also engages in interaction with the gene or protein responsible for the Recycling of eIF2:GDP?","[444, 2593, 1667, 982, 893, 4024, 663, 10540, 2164, 1958, 6050, 7388, 35063, 2807, 1686, 59253, 7449, 1172, 56974, 60477]","[444, 2593, 1667, 982, 893, 4024, 663, 10540, 2164, 1958, 6050, 7388, 35063, 2807, 1686, 59253, 7449, 1172, 56974, 60477]",0.0,0.0,0.0,0.0
4052,[15768],Can you identify any drugs in our database that target the JAK1 gene with a selectivity that is at least tenfold more potent against JAK1 compared to JAK2?,"[15666, 15269, 14407, 15597, 15250, 15768, 15674, 18870, 19315, 19316, 19642, 15748, 19317, 15673, 19318, 21690, 18346, 15752, 15020, 15002]","[15768, 15666, 15269, 14407, 15597, 15250, 15674, 18870, 19315, 19316, 19642, 15748, 19317, 15673, 19318, 21690, 18346, 15752, 15020, 15002]",1.0,1.0,1.0,1.0
7320,"[15160, 15797, 15614]","Can you provide a list of long-acting beta-2 agonists that, when combined with Oxitropium, demonstrate a synergistic effect in the treatment of bronchospasm for a condition both medications are prescribed for?","[15797, 14159, 15160, 15614, 15166, 14272, 15229, 17561, 14862, 14263, 15479, 14873, 17562, 15254, 14848, 20370, 16532, 15546, 16538, 14292]","[15797, 15160, 15614, 14272, 14862, 17562, 15479, 14848, 16532, 15546, 14263, 15166, 15229, 17561, 14873, 14159, 15254, 16538, 20370, 14292]",1.0,1.0,1.0,1.0
