qid,query,answer_ids
3338,"What are the compounds that directly target the OPRM1 receptor, work synergistically with Ampicillin, and are used to treat opioid-induced constipation?","[15880, 17508]"
3036,"I've been experiencing increased weight gain and joint pain, particularly in my knees and wrists, and I've recently been diagnosed with HIV. Can you provide information on HIV medications that are less likely to exacerbate my weight and joint issues?",[14967]
2543,What are the subtypes of Mendelian disorders with autosomal dominant patterns that do not include abnormal bleeding as a symptom?,[27328]
10373,Identify conditions that lack approved treatments and correlate with abnormal morphology of the corpus callosum.,[27794]
1325,"Please find details on a disease categorized under roseolovirus infections that leads to encephalitis from human herpesvirus 6 and presents neurological issues such as disorientation, amnesia, temporary memory loss, and seizures.",[99648]
5716,What pathways are linked to 'Sensory processing of sound by outer hair cells of the cochlea' within the sensory perception hierarchy?,[63021]
3943,"What are the treatment options for managing relapsing-remitting multiple sclerosis, particularly for alleviating the fluctuating symptoms?","[14791, 15371, 15284, 15285, 15829, 20126]"
10514,"Which illness is characterized by the accumulation of kidney waste in the bloodstream, and why is it a medical reason to avoid using the prescribed medications for treating shigellosis?","[36968, 33678, 35764, 36694, 83831, 36253]"
3656,"What possible diagnosis should be considered for a patient with chest pain, shortness of breath, and weight loss if malignant mesothelioma or its subtypes could be related?","[94622, 32612, 36621, 95857, 36053, 37877, 37982, 37983, 37981, 37694, 36511]"
4226,What diseases does Amiodarone treat?,[39880]
1699,Which drugs are contraindicated for otitis media or ear infections?,[20624]
3156,What are the specific genes and proteins associated with the development of megalocornea?,[13671]
7160,"Which conditions, for which no medications are currently indicated, are linked to elevated levels of creatine kinase in the blood and result in both the loss of mitochondria and the disruption of the sarcomere structure within muscle fibers?",[27213]
1786,What diseases are associated with X-linked intellectual disability and can result in early-onset learning difficulties with IQ scores below 67?,"[33312, 35692]"
9938,"Can tamoxifen, known for inducing the maturation of multiple eggs in the ovaries at once, exhibit synergistic effects when combined with a medication that lists ovarian tumors as a potential adverse reaction?",[17106]
6980,Which conditions linked to the APOC3 gene can cause atherosclerosis in the coronary arteries and are known to have contraindications with the use of Estradiol valerate?,[36187]
9423,"Which sedative first-generation H1 histamine blocker, employed to treat allergic symptoms such as hay fever, rhinitis, skin allergies, and itching, interacts synergistically with Bilastine and is also prescribed for the same allergic conditions?","[16066, 15460, 15877, 17252, 17256, 16490, 15210, 14990, 15086, 14607, 17230, 17231, 17232, 17233, 14193, 14295, 17243, 15260]"
2455,What is the name of the inflammatory disease that primarily targets the small intestine and is linked to Crohn's ileitis and jejunitis?,"[94833, 95279, 35815]"
7338,"Which gene, responsible for encoding a component of the mitochondrial respiratory chain complex I, has the capability to bind with GFM1 and shares a link with the same medical condition as GFM1?",[35063]
2767,What is the name of the skin condition that is a variant of acquired elastic tissue disorders in the dermis and presents with nodular skin growths?,[32459]
1620,Identify the Y-linked gene associated with spermatogenic failure that's located in the Y chromosome's nonrecombining zone and exclusively expressed in testes.,"[13088, 3271, 35176, 12137, 35178, 35179, 35180, 35181, 35182, 35183, 35184, 3762, 12530, 375, 5435, 13662]"
327,"Hello, I was recently diagnosed with a condition causing nocturnal episodes of red blood cell breakdown, I believe it’s called paroxysmal nocturnal hemoglobinuria. I'm in search of treatments to prevent my red blood cells from disintegrating prematurely, ideally with sustained effects over several months. What are my medication options?",[17946]
3397,"What is the link between pancreatic tubular adenocarcinoma and exocrine pancreatic carcinoma, and are they part of a related group of pancreatic diseases? I'm exploring connections as both have appeared in my family health history.",[36881]
6595,"Identify a biological pathway involving RUNX2's regulatory role in osteoblast differentiation, which also involves a gene or protein that interacts with both RUNX2 and the osteoblast differentiation process.",[62945]
8159,Which pulmonary condition disqualifies the use of hemophilia medications?,"[37888, 28714, 35831, 39609, 83897]"
1128,What is the disease that falls into the category of both skeletal system disorders and spinal tuberculosis?,[39829]
3740,Please find medication options for psychological dyspareunia that both affect CYP3A5 enzyme activity and inhibit PDE5.,"[14937, 14974, 15011, 14971]"
5115,"I was recently diagnosed with suppurative cholangitis and need to find effective treatment options. Can you provide me with a list of antibiotics suitable for combating gram-negative bacteria associated with this liver infection? Additionally, I'm interested in antibiotics that inhibit bacterial protein synthesis. Please also inform me about any potential side effects, particularly those that could lead to increased blood nitrogen levels, or azotemia.","[20412, 20407]"
207,What are the hearing-related health problems associated with adenoma?,[96238]
1301,"What is the name of the genetic hair shaft condition characterized by flattened hair shafts that twist 180 degrees sporadically, causing hair to appear flattened and intermittently twisted?","[28034, 31383]"
3288,"Which diseases are treated with Clomifene off-label for male infertility related to poor sperm performance, particularly when a couple is unable to conceive?","[39176, 39466, 38997]"
1682,"Hi, I've been diagnosed with type 2 diabetes and am exploring medication possibilities. I'm aware of Anisodamine and I’m interested in knowing about other drugs that could complement it in managing my condition. Could you provide a list of contemporary, research-backed type 2 diabetes medications that are suitable to use alongside Anisodamine? Thank you.","[15878, 15753, 15373, 15770, 17951, 20513, 20514, 20517, 20518, 20519, 15784, 15785, 17832, 17833, 20520, 20521, 15283, 14293, 14813, 17903]"
1393,"What is the name of the gynecological condition that arises due to blocked Bartholin's glands and involves cyst formation, falling under the broader category of women's reproductive health issues?",[96874]
10673,Which condition leading to benign prostatic enlargement should not be present in patients before prescribing medications typically used for treating biliary tract disorders?,[31395]
668,"Please find the gene encoding a protein that functions as a thermosensitive, nonselective cation channel within the TRP pathway, facilitating calcium channel activity, responsive between 22-40°C, and crucial for thermal sensation and vasoregulation.","[35312, 12842, 7570]"
1405,Could chronic rhinitis cause persistent inflammation and erosion of the nasal bones and soft tissues?,[97112]
2598,Can you suggest medications for sebaceous adenocarcinoma that work well with Atorvastatin?,[14401]
5085,"Could you provide a list of effective treatments for reducing eosinophil levels in patients with eosinophilic pneumonia, preferably those that can decrease the count by 50% to almost 100%?","[19177, 18798, 18799]"
5404,"What condition linked to Desonide treatment could cause an infection, often bacterial but sometimes fungal or viral, in patients with itchy ears, ear inflammation, varying levels of ear pain, and reduced hearing?",[35549]
1643,Which drugs enhance Vibegron's effects when combined and are linked to urogenital tract functions and sex hormone regulation?,"[15137, 15684, 21957, 15718, 14406, 15080, 15212, 21007, 14292, 14583, 16316, 15103]"
6942,Which pharmaceutical agent engages with the collagen-enriched extracellular matrix and serves as a vital cofactor integral to the operation of numerous enzymes within the body?,"[14012, 14119]"
2832,What possible anorectal condition could manifest early signs of lethargy and reduced appetite?,[95466]
10019,Which medications share similar adverse reactions with Zinc chloride?,[14490]
9855,What common genes do Rimexolone and CRx-119 both affect?,[1424]
3931,What biological process works alongside Prefoldin and TriC/CCT cooperation in the folding of actin and tubulin to produce temporary tubulin folding intermediates?,[128358]
5388,What disease is associated with the AGGF1 gene and involves the formation of numerous lipomas?,[30713]
3570,What drug should be avoided for focal hand dystonia and also targets the ORM2 gene/protein?,[14178]
6476,What are the observed effects or phenotypes associated with the hypermobility subtype of Ehlers-Danlos Syndrome?,"[22759, 23314, 23890, 23891, 23317, 24597, 23225, 23261, 86366, 26239]"
4656,"What inherited conditions could cause a swelling on the back of my newborn's head, assuming it requires both parents to be carriers and with no family history of blood clots?",[27656]
6043,"Which conditions linked to oxytocin (OXT) interactions that should not be treated with chlorpromazine share the symptomatology of cyclical abnormal nerve activity, leading to intermittent sensory or motor neurological disturbances?",[35641]
5133,What are the selective antagonists of CYSLTR1 that specifically block leukotriene D4's action?,"[15511, 14601, 17603, 14599]"
1146,"What is the specific type of miliaria known for causing clear, non-inflammatory blisters in the epidermis?","[98913, 98914, 98915, 98917, 99515]"
896,"Could you suggest any medications that might lead to stretch marks as a side effect? Additionally, I'm in need of a topical cream or ointment to alleviate localized redness, itching, and swelling.","[15500, 14015, 14019, 14021, 14023, 15047, 14026, 14028, 14029, 14033, 15703, 14040, 14043, 14941, 15583, 17775, 17776, 17777, 14970, 15486]"
3430,What drugs are used to treat Plasmodium vivax malaria and also have broader applications for managing different types of malaria?,"[14790, 14347, 14701, 14998, 14426, 20540, 14206]"
6136,Which DNA-binding transcription factor is notably missing from salivary glands and the saliva itself?,"[10147, 57463]"
5293,"I'm facing some challenges with urination and suspect that I might be experiencing seizures. I'm currently on Temazepam. Could you suggest any compatible medications to address these urinary issues, potential seizures, and manage severe pain?","[14241, 14981, 14150, 15078, 14157, 15199]"
800,"Could facial flushing after alcohol consumption be indicative of a hereditary condition related to enzymatic or ""catalytic activity"" diseases in my family history?",[31092]
10892,"I'm seeking information on glucocorticoid medications with immunosuppressive, anti-inflammatory, and vasoconstrictive properties that have a synergistic effect when used with Flunisolide. These drugs should be indicated for the same conditions that Flunisolide, a topical corticosteroid used for its anti-inflammatory benefits, is prescribed for.","[14018, 14019, 14020, 14023, 14024, 14030, 14320, 14034, 14036, 14038, 15064, 14042, 15003, 14269]"
7498,"Which protein, a constituent of the 40S ribosomal subunit, is known to engage in interactions with RPS17, and has also been implicated in disorders connected to anomalies in RPS17 function?","[2977, 2500, 4933, 3049, 4789, 2137, 1948, 7423]"
1273,Could cerebral amyloid angiopathy be linked to any diseases that cause memory lapses or cognitive issues akin to dementia?,[31570]
10808,"Which medication, functioning on genes or proteins found within the gall bladder and formulated as a low-dose mix of prednisolone and paroxetine, serves as a treatment for rheumatoid arthritis?",[17592]
1330,What diseases are related to non-human animal illnesses and impact common rodent species?,[39772]
10203,"Which disorders linked to peroxiredoxin 3 (PRDX3) exacerbate bone density loss and elevate the risk of fractures, and are not recommended for management with Metformin?","[83776, 29614]"
8614,Which low-solubility penicillin salt variant enhances the effectiveness of Cefazolin and is prescribed for treating the same medical condition as Cefazolin?,[20409]
3650,What mandibular diseases related to odontogenic tumors should I include in the differential diagnosis for a suspected lesion?,"[99091, 98556, 35695]"
9700,"Does palmitic acid, as a solid fatty acid, share a common gene or protein transport mechanism with alpha-linolenic acid?","[14360, 14573]"
3295,What are the common symptoms and related conditions of orbital plasma cell granuloma?,[35996]
1906,What condition associated with the CXCL9 gene exhibits phases of no symptoms?,[33249]
3851,"I'm looking for a drug that targets the IGF2R receptor, includes rhIGF-1 in its makeup, and has an average elimination half-life around 5.8 hours. Can you help me find this?",[14554]
4578,"What is the name of the gene or protein that not only interacts directly with the Arp2/3 complex to initiate actin nucleation but is also part of the WASH1 protein family, specifically encompassing the WAHD domain?","[57665, 58665]"
1757,"Which condition associated with GNAQ mutations commonly includes a facial port-wine stain, neurological issues, and affects the eyes with glaucoma in about 33-50% of cases?",[29508]
6184,Find conditions linked to DCC that should not be treated with Pyridoxine.,[28313]
6179,"I am looking for medications that can work in tandem with Icotinib to treat non-small cell lung cancer. Specifically, I’m interested in finding anti-cancer drugs that not only show a synergistic effect when used alongside Icotinib but also target tubulin, contributing to microtubule stabilization. Could you help me identify such compounds that may enhance the therapeutic efficacy when used in combination with Icotinib?","[14792, 14793]"
16,"What is the inherited dental disorder characterized by irregularities in both baby and adult teeth, with a birth incidence of 1 in 6000 to 1 in 8000?",[39179]
22,"Please find the gene or protein participating in IL-27 signaling as a component of the IL-27 complex, involved in inflammation, and responsible for producing the secretory glycoprotein that pairs with a 28-kD protein to form IL-27.","[729, 34082, 5974]"
