id,query,entities,relations
1722,What could be a related disease if someone has oromandibular-limb hypogenesis syndrome and a fibrous band linking their tongue to the palate or gingival ridge?,"{""A"": {""type"": [""disease""], ""lexical"": {""name"": ""oromandibular-limb hypogenesis syndrome""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""anatomy""], ""lexical"": {}, ""semantic"": [""tongue"", ""palate"", ""gingival ridge""], ""constant"": false}, ""C"": {""type"": [""anatomy""], ""lexical"": {""name"": ""fibrous band""}, ""semantic"": [""linking tongue to the palate or gingival ridge""], ""constant"": true}, ""ANSWER"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""related to oromandibular-limb hypogenesis syndrome"", ""associated with a fibrous band linking the tongue to the palate or gingival ridge""], ""constant"": false}}","{('A', 'ANSWER'): ['associated with', 'linked to'], ('B', 'C'): ['interacts with'], ('A', 'B'): ['expression present', 'expression absent'], ('C', 'ANSWER'): ['associated with'], ('B', 'ANSWER'): ['associated with', 'linked to']}"
9257,What are the common genetic targets of Meclofenamic acid and Escherichia coli-derived Asparaginase?,"{""A"": {""type"": [""drug""], ""lexical"": {""name"": ""Meclofenamic acid""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""drug""], ""lexical"": {""name"": ""Escherichia coli-derived Asparaginase""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""common genetic targets of Meclofenamic acid"", ""common genetic targets of Escherichia coli-derived Asparaginase""], ""constant"": false}}","{('A', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme'], ('B', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme']}"
5881,"What are the common genetic targets associated with the action of both 2',4'-Dichloro-4-hydroxy-1,1'-biphenyl-3-carboxylic acid and Liotrix?","{""A"": {""type"": [""drug""], ""lexical"": {""name"": ""2',4'-Dichloro-4-hydroxy-1,1'-biphenyl-3-carboxylic acid""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""drug""], ""lexical"": {""name"": ""Liotrix""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""associated with the action of both 2',4'-Dichloro-4-hydroxy-1,1'-biphenyl-3-carboxylic acid and Liotrix""], ""constant"": false}}","{('A', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme'], ('B', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme']}"
5236,Could you supply a list of gene or protein regulators involved in ATPase activity that are also associated with the development of autism?,"{""A"": {""type"": [""molecular_function""], ""lexical"": {""name"": ""ATPase activity""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""disease""], ""lexical"": {""name"": ""autism""}, ""semantic"": [""development of autism""], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""involved in ATPase activity"", ""associated with the development of autism""], ""constant"": false}}","{('A', 'ANSWER'): ['interacts with'], ('B', 'ANSWER'): ['associated with', 'linked to']}"
6960,Which gene or protein is not expressed in either the salivary glands or the renal nephron's tubular structures?,"{""A"": {""type"": [""anatomy""], ""lexical"": {""name"": ""salivary glands""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""anatomy""], ""lexical"": {""name"": ""renal nephron's tubular structures""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""not expressed in either the salivary glands"", ""not expressed in the renal nephron's tubular structures""], ""constant"": false}}","{('A', 'ANSWER'): ['expression absent'], ('B', 'ANSWER'): ['expression absent']}"
5574,Which strobilurin fungicides target both CYC1 and UQCRB genes/proteins?,"{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""CYC1""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""UQCRB""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""drug""], ""lexical"": {""name"": ""strobilurin fungicides""}, ""semantic"": [""target both CYC1 and UQCRB genes/proteins""], ""constant"": false}}","{('A', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme'], ('B', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme']}"
139,"Can you list the diseases associated with the PDE8B gene, specifically those that fall under primary pigmented nodular adrenocortical disease with a known PDE11A gene mutation etiology?","{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""PDE8B""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""PDE11A""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""disease""], ""lexical"": {""name"": ""primary pigmented nodular adrenocortical disease""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""associated with the PDE8B gene"", ""fall under primary pigmented nodular adrenocortical disease"", ""with a known PDE11A gene mutation etiology""], ""constant"": false}}","{('A', 'ANSWER'): ['associated with', 'linked to'], ('B', 'C'): ['associated with'], ('B', 'ANSWER'): ['associated with', 'linked to'], ('C', 'ANSWER'): ['parent-child']}"
1893,Which diseases are related to or fall under oophoritis and also manifest with tuberculous inflammation of the ovaries?,"{""A"": {""type"": [""disease""], ""lexical"": {""name"": ""oophoritis""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""effect/phenotype""], ""lexical"": {}, ""semantic"": [""tuberculous inflammation of the ovaries""], ""constant"": false}, ""ANSWER"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""related to or fall under oophoritis"", ""manifest with tuberculous inflammation of the ovaries""], ""constant"": false}}","{('A', 'ANSWER'): ['associated with', 'linked to', 'parent-child'], ('B', 'ANSWER'): ['phenotype present', 'associated with'], ('A', 'B'): ['associated with', 'linked to']}"
10411,Which genes or proteins are expressed in the pericardium but not in the deltoid muscle?,"{""A"": {""type"": [""anatomy""], ""lexical"": {""name"": ""pericardium""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""anatomy""], ""lexical"": {""name"": ""deltoid muscle""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""expressed in the pericardium"", ""not expressed in the deltoid muscle""], ""constant"": false}}","{('A', 'ANSWER'): ['expression present'], ('B', 'ANSWER'): ['expression absent']}"
1595,Could you provide a list of medications that are compatible with Ormeloxifene for treating a respiratory infection?,"{""A"": {""type"": [""drug""], ""lexical"": {""name"": ""Ormeloxifene""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""disease""], ""lexical"": {""name"": ""respiratory infection""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""drug""], ""lexical"": {}, ""semantic"": [""compatible with Ormeloxifene"", ""for treating a respiratory infection""], ""constant"": false}}","{('A', 'ANSWER'): ['synergistic interaction'], ('B', 'A'): ['indication'], ('B', 'ANSWER'): ['indication']}"
5602,Can you find any medications that target the ODC1 gene/protein and are toxic diamines resulting from the breakdown of ornithine and arginine?,"{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""ODC1""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""molecular_function""], ""lexical"": {}, ""semantic"": [""resulting from the breakdown of ornithine and arginine""], ""constant"": false}, ""ANSWER"": {""type"": [""drug""], ""lexical"": {""name"": ""toxic diamines""}, ""semantic"": [""target the ODC1 gene/protein"", ""resulting from the breakdown of ornithine and arginine""], ""constant"": false}}","{('A', 'ANSWER'): ['target', 'carrier', 'transporter', 'enzyme'], ('B', 'ANSWER'): ['associated with', 'interacts with'], ('A', 'B'): ['interacts with']}"
4948,Could you suggest medications that are compatible with Pegamotecan and Pegaptanib to enhance their efficacy and also help increase my neutrophil levels?,"{""A"": {""type"": [""drug""], ""lexical"": {""name"": ""Pegamotecan""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""drug""], ""lexical"": {""name"": ""Pegaptanib""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""effect/phenotype""], ""lexical"": {}, ""semantic"": [""increase my neutrophil levels""], ""constant"": false}, ""ANSWER"": {""type"": [""drug""], ""lexical"": {}, ""semantic"": [""compatible with Pegamotecan and Pegaptanib"", ""enhance their efficacy"", ""help increase my neutrophil levels""], ""constant"": false}}","{('A', 'ANSWER'): ['synergistic interaction'], ('B', 'ANSWER'): ['synergistic interaction'], ('A', 'B'): ['synergistic interaction'], ('ANSWER', 'C'): ['side effect'], ('A', 'C'): ['side effect'], ('B', 'C'): ['side effect']}"
501,"Please compile a list of genes and proteins involved in the Generic Transcription Pathway by interaction, which are also linked to salivary gland cancer.","{""A"": {""type"": [""pathway""], ""lexical"": {""name"": ""Generic Transcription Pathway""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""disease""], ""lexical"": {""name"": ""salivary gland cancer""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""involved in the Generic Transcription Pathway by interaction"", ""linked to salivary gland cancer""], ""constant"": false}}","{('A', 'ANSWER'): ['interacts with'], ('ANSWER', 'B'): ['associated with', 'linked to']}"
8548,"I'm searching for a biological pathway that plays a role in events associated with Cyclin E during the G1/S transition phase, which also interacts with the same genes or proteins that Cyclin E:Cdk2 complexes do. Additionally, this pathway should involve the phosphorylation of proteins crucial to the G1/S transition, a process mediated by the action of Cyclin E:Cdk2 complexes. Can you identify this pathway for me?","{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""Cyclin E""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""Cdk2""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""biological_process""], ""lexical"": {""name"": ""G1/S transition""}, ""semantic"": [], ""constant"": true}, ""D"": {""type"": [""molecular_function""], ""lexical"": {""name"": ""phosphorylation of proteins""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""pathway""], ""lexical"": {}, ""semantic"": [""plays a role in events associated with Cyclin E"", ""interacts with the same genes or proteins that Cyclin E:Cdk2 complexes do"", ""involves the phosphorylation of proteins crucial to the G1/S transition"", ""mediated by the action of Cyclin E:Cdk2 complexes""], ""constant"": false}}","{('A', 'B'): ['interacts with', 'ppi'], ('A', 'C'): ['associated with'], ('B', 'C'): ['associated with'], ('A', 'ANSWER'): ['interacts with'], ('B', 'ANSWER'): ['interacts with'], ('C', 'ANSWER'): ['interacts with'], ('D', 'ANSWER'): ['interacts with'], ('D', 'C'): ['interacts with'], ('A', 'D'): ['interacts with'], ('B', 'D'): ['interacts with']}"
6522,"Identify genes or proteins that both engage in interactions with CCM2 and are implicated in the same pathological conditions, while also being part of a protein complex with other cerebral cavernous malformation (CCM) gene family constituents.","{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""CCM2""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""disease""], ""lexical"": {""name"": ""cerebral cavernous malformation""}, ""semantic"": [""same pathological conditions""], ""constant"": true}, ""C"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""part of a protein complex with other CCM gene family constituents""], ""constant"": false}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""engage in interactions with CCM2"", ""implicated in the same pathological conditions"", ""part of a protein complex with other cerebral cavernous malformation (CCM) gene family constituents""], ""constant"": false}}","{('A', 'ANSWER'): ['interacts with', 'ppi', 'associated with'], ('B', 'ANSWER'): ['associated with', 'linked to'], ('A', 'B'): ['associated with', 'linked to'], ('ANSWER', 'C'): ['ppi', 'interacts with', 'associated with']}"
181,"What are the effective inhibitors of the membrane-bound metalloendopeptidase, or enkephalinase, that interact with the MME gene/protein?","{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""MME""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""molecular_function""], ""lexical"": {""name"": ""membrane-bound metalloendopeptidase""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""molecular_function""], ""lexical"": {""name"": ""enkephalinase""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""drug""], ""lexical"": {""name"": ""effective inhibitors""}, ""semantic"": [""of the membrane-bound metalloendopeptidase"", ""or enkephalinase"", ""interact with the MME gene/protein""], ""constant"": false}}","{('A', 'B'): ['interacts with'], ('A', 'C'): ['interacts with'], ('B', 'C'): ['associated with'], ('ANSWER', 'A'): ['target', 'carrier', 'transporter', 'enzyme'], ('ANSWER', 'B'): ['interacts with'], ('ANSWER', 'C'): ['interacts with']}"
4045,"Please find diseases linked to the DCLRE1C gene, characterized by severe, recurrent infections, diarrhea, failure to thrive, and heightened sensitivity to ionizing radiation.","{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""DCLRE1C""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""linked to the DCLRE1C gene"", ""characterized by severe, recurrent infections"", ""characterized by diarrhea"", ""characterized by failure to thrive"", ""characterized by heightened sensitivity to ionizing radiation""], ""constant"": false}}",{}
2625,Which disease falls under malignant histiocytosis and is linked to the SLC29A3 gene/protein?,"{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""SLC29A3""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""disease""], ""lexical"": {""name"": ""malignant histiocytosis""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""falls under malignant histiocytosis"", ""linked to the SLC29A3 gene/protein""], ""constant"": false}}","{('A', 'ANSWER'): ['associated with', 'linked to'], ('B', 'ANSWER'): ['parent-child']}"
4710,"What is the diagnosis for a condition involving chronic neuroinflammation, specifically a form of encephalitis with ongoing inflammation in the brain?","{""A"": {""type"": [""disease""], ""lexical"": {""name"": ""encephalitis""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""anatomy""], ""lexical"": {""name"": ""brain""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""involving chronic neuroinflammation"", ""a form of encephalitis"", ""ongoing inflammation in the brain""], ""constant"": false}}","{('A', 'ANSWER'): ['associated with', 'linked to', 'parent-child'], ('B', 'A'): ['associated with'], ('B', 'ANSWER'): ['associated with', 'linked to']}"
1471,What is the name of the condition associated with cervical cancer that involves cysts with both columnar and squamous cells in the cervix?,"{""A"": {""type"": [""anatomy""], ""lexical"": {""name"": ""cervix""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""cellular_component""], ""lexical"": {}, ""semantic"": [""cysts with both columnar and squamous cells""], ""constant"": false}, ""C"": {""type"": [""disease""], ""lexical"": {""name"": ""cervical cancer""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""associated with cervical cancer"", ""involves cysts with both columnar and squamous cells in the cervix""], ""constant"": false}}","{('A', 'B'): ['expression present'], ('A', 'C'): ['expression present'], ('A', 'ANSWER'): ['expression present'], ('B', 'C'): ['associated with'], ('B', 'ANSWER'): ['associated with'], ('C', 'ANSWER'): ['associated with', 'linked to']}"
5323,"What possible conditions could I have that involve persistent fatigue and weakness, considering my family history of thrombocytopenia with congenital dyserythropoietic anemia? Are there hereditary diseases related to these symptoms?","{""A"": {""type"": [""disease""], ""lexical"": {""name"": ""thrombocytopenia""}, ""semantic"": [""family history""], ""constant"": true}, ""B"": {""type"": [""disease""], ""lexical"": {""name"": ""congenital dyserythropoietic anemia""}, ""semantic"": [""family history""], ""constant"": true}, ""C"": {""type"": [""effect/phenotype""], ""lexical"": {}, ""semantic"": [""persistent fatigue"", ""weakness""], ""constant"": false}, ""ANSWER"": {""type"": [""disease""], ""lexical"": {}, ""semantic"": [""involve persistent fatigue and weakness"", ""hereditary diseases related to thrombocytopenia and congenital dyserythropoietic anemia""], ""constant"": false}}","{('A', 'ANSWER'): ['linked to', 'associated with'], ('B', 'ANSWER'): ['linked to', 'associated with'], ('C', 'ANSWER'): ['phenotype present', 'side effect'], ('A', 'B'): ['associated with'], ('A', 'C'): ['phenotype present', 'side effect'], ('B', 'C'): ['phenotype present', 'side effect']}"
228,Could you identify genes or proteins that interact with RTL10 and are also associated with chromatin organization?,"{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""RTL10""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""biological_process""], ""lexical"": {""name"": ""chromatin organization""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""interact with RTL10"", ""associated with chromatin organization""], ""constant"": false}}","{('A', 'ANSWER'): ['interacts with', 'ppi', 'associated with'], ('B', 'ANSWER'): ['associated with'], ('A', 'B'): ['interacts with']}"
10512,Identify pathways associated with the autointegration process resulting in circular viral DNA and its interaction with common genes/proteins.,"{""A"": {""type"": [""biological_process""], ""lexical"": {""name"": ""autointegration process""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""effect/phenotype""], ""lexical"": {}, ""semantic"": [""resulting in circular viral DNA""], ""constant"": false}, ""C"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""common genes/proteins""], ""constant"": false}, ""ANSWER"": {""type"": [""pathway""], ""lexical"": {}, ""semantic"": [""associated with the autointegration process"", ""resulting in circular viral DNA"", ""interaction with common genes/proteins""], ""constant"": false}}","{('A', 'B'): ['linked to'], ('A', 'C'): ['interacts with'], ('A', 'ANSWER'): ['interacts with'], ('B', 'ANSWER'): ['associated with', 'linked to'], ('C', 'ANSWER'): ['interacts with'], ('B', 'C'): ['associated with', 'phenotype present']}"
634,Which drugs interact with the SERPINA1 gene/protein as carriers?,"{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""SERPINA1""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""drug""], ""lexical"": {}, ""semantic"": [""interact with the SERPINA1 gene/protein"", ""as carriers""], ""constant"": false}}","{('ANSWER', 'A'): ['carrier', 'interacts with']}"
8681,"Which pharmaceutical agents not only exhibit a synergistic effect when combined with Incadronic acid but are also approved for treating the same condition, and possess an extended half-life ensuring prolonged therapeutic impact within the body?","{""A"": {""type"": [""drug""], ""lexical"": {""name"": ""Incadronic acid""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""effect/phenotype""], ""lexical"": {}, ""semantic"": [""synergistic effect when combined with Incadronic acid""], ""constant"": false}, ""C"": {""type"": [""effect/phenotype""], ""lexical"": {}, ""semantic"": [""extended half-life"", ""prolonged therapeutic impact within the body""], ""constant"": false}, ""ANSWER"": {""type"": [""drug""], ""lexical"": {""name"": ""pharmaceutical agents""}, ""semantic"": [""exhibit a synergistic effect when combined with Incadronic acid"", ""approved for treating the same condition as Incadronic acid"", ""possess an extended half-life"", ""ensuring prolonged therapeutic impact within the body""], ""constant"": false}}","{('A', 'ANSWER'): ['synergistic interaction'], ('A', 'B'): ['side effect'], ('ANSWER', 'B'): ['side effect'], ('ANSWER', 'C'): ['associated with', 'side effect']}"
1340,"What are the genes or proteins that interact with NMD3, are expressed in adult mammalian kidneys, have a role in secretion and transport, and show high expression levels in lung tissue?","{""A"": {""type"": [""gene/protein""], ""lexical"": {""name"": ""NMD3""}, ""semantic"": [], ""constant"": true}, ""B"": {""type"": [""anatomy""], ""lexical"": {""name"": ""adult mammalian kidneys""}, ""semantic"": [], ""constant"": true}, ""C"": {""type"": [""biological_process""], ""lexical"": {""name"": ""secretion and transport""}, ""semantic"": [], ""constant"": true}, ""D"": {""type"": [""anatomy""], ""lexical"": {""name"": ""lung tissue""}, ""semantic"": [], ""constant"": true}, ""ANSWER"": {""type"": [""gene/protein""], ""lexical"": {}, ""semantic"": [""interact with NMD3"", ""expressed in adult mammalian kidneys"", ""have a role in secretion and transport"", ""show high expression levels in lung tissue""], ""constant"": false}}","{('A', 'ANSWER'): ['interacts with', 'ppi', 'associated with'], ('ANSWER', 'B'): ['expression present'], ('ANSWER', 'D'): ['expression present'], ('C', 'ANSWER'): ['interacts with']}"
